aryal_gene_family,aryal_product,aryal_gene,aryal_module_bin,aryal_consensus_rank_pct_mean,aryal_product_is_informative,n_current_product_matches,current_matching_families,current_candidate_sets,current_modules,any_current_model_supported,any_current_highly_pure,any_current_fox,any_current_proteomics_detected,any_current_proteomics_directional,any_current_three_layer,any_same_gf_id
GF_02113,30S ribosomal protein S8,rpsH,Housekeeping / lineage marker,0.3353395357414177,True,1,GF_00386,Model-Supported,Housekeeping / lineage marker,True,False,False,True,True,False,False
GF_00634,1-deoxy-D-xylulose-5-phosphate reductoisomerase,dxr,Other / unassigned,0.3395045768582696,True,1,GF_01314,Model-Supported,Other / unassigned,True,False,False,True,True,False,False
GF_00799,porphobilinogen synthase,hemB,Other / unassigned,0.3532861006527414,True,2,GF_00457;GF_00538,Model-Supported,Other / unassigned,True,False,False,True,True,False,False
GF_00408,ketol-acid reductoisomerase,ilvC,Other / unassigned,0.3548405123881947,True,1,GF_00143,Model-Supported,Other / unassigned,True,False,False,True,True,False,False
GF_00863,50S ribosomal protein L14,rplN,Housekeeping / lineage marker,0.3730609925363754,True,1,GF_00958,Model-Supported,Housekeeping / lineage marker,True,False,False,True,True,False,False
GF_00218,phosphoglycerate kinase,,Other / unassigned,0.37376083699573,True,1,GF_01813,Model-Supported,Other / unassigned,True,False,False,True,True,False,False
GF_02153,phycobilisome linker polypeptide,,Other / unassigned,0.3798210082700414,True,1,GF_01502,Model-Supported,Other / unassigned,True,False,False,True,True,False,False
GF_01956,transaldolase,,Carbon metabolism & NAD(P)H supply,0.3818009089470892,True,2,GF_00286;GF_01683,Highly Pure;Model-Supported,Carbon metabolism & NAD(P)H supply,True,True,False,True,True,False,False
GF_01122,2-isopropylmalate synthase,,Other / unassigned,0.3903267469756787,True,1,GF_01387,Model-Supported,Other / unassigned,True,False,False,True,True,False,False
GF_01555,circadian clock protein KaiB,kaiB,Other / unassigned,0.410124178507831,True,1,GF_00845,Model-Supported,Other / unassigned,True,False,False,True,True,False,False
GF_01928,DNA-directed RNA polymerase subunit gamma,,Housekeeping / lineage marker,0.4261658470719752,True,1,GF_01926,Model-Supported,Housekeeping / lineage marker,True,False,False,True,True,False,False
GF_02371,elongation factor G,fusA,Other / unassigned,0.4283408158356915,True,3,GF_01257;GF_02069;GF_02140,Highly Pure;Model-Supported,Other / unassigned,True,True,False,True,True,False,False
GF_01182,NAD(P)H-quinone oxidoreductase subunit H,,Other / unassigned,0.4402105081749806,True,1,GF_00916,Model-Supported,Other / unassigned,True,False,False,True,True,False,False
GF_00899,carbamoyl-phosphate synthase large subunit,carB,Other / unassigned,0.4442244235991076,True,2,GF_00570;GF_02189,Highly Pure;Model-Supported,Other / unassigned,True,True,False,True,True,False,False
GF_01090,photosystem II chlorophyll-binding protein CP47,psbB,Housekeeping / lineage marker,0.4483348465106248,True,1,GF_00819,Model-Supported,Housekeeping / lineage marker,True,False,False,True,True,False,False
GF_00668,stress-responsive protein Ycf46,ycf46,Other / unassigned,0.4907801506113001,True,1,GF_00015,Model-Supported,Other / unassigned,True,False,False,True,True,False,False
GF_02411,ATP-dependent Clp protease proteolytic subunit,,Other / unassigned,0.5048757679424635,True,4,GF_00079;GF_00341;GF_00463;GF_01689,Highly Pure;Model-Supported,Other / unassigned,True,True,False,True,True,False,False
GF_00619,LysR family transcriptional regulator,,Regulation,0.5258609491888455,True,3,GF_00279;GF_00335;GF_00368,Highly Pure;Model-Supported,Regulation,True,True,False,True,True,False,False
GF_00206,transketolase,tkt,Other / unassigned,0.5353746920023568,True,2,GF_00320;GF_02141,Model-Supported,Other / unassigned,True,False,False,True,True,False,False
GF_00665,DNA-directed RNA polymerase subunit beta,rpoB,Housekeeping / lineage marker,0.5397410363381427,True,1,GF_00393,Model-Supported,Housekeeping / lineage marker,True,False,False,True,True,False,False
GF_01514,magnesium chelatase subunit H,,Other / unassigned,0.5403165502455493,True,3,GF_00381;GF_00660;GF_00966,Highly Pure;Model-Supported,Other / unassigned,True,True,False,True,True,False,False
GF_01712,P-II family nitrogen regulator,,Regulation,0.5403233353384241,True,2,GF_01395;GF_01548,Highly Pure;Model-Supported,Regulation,True,True,False,True,True,False,False
GF_02440,adenosylhomocysteinase,ahcY,Other / unassigned,0.5404390242619569,True,2,GF_00523;GF_00866,Model-Supported,Other / unassigned,True,False,False,True,True,False,False
GF_01959,3-isopropylmalate dehydratase large subunit,leuC,Other / unassigned,0.543712059947829,True,1,GF_01376,Model-Supported,Other / unassigned,True,False,False,True,True,False,False
GF_01720,LL-diaminopimelate aminotransferase,,Other / unassigned,0.5611237817745495,True,1,GF_01446,Model-Supported,Other / unassigned,True,False,False,True,True,False,False
GF_00792,30S ribosomal protein S19,rpsS,Housekeeping / lineage marker,0.561429381977735,True,1,GF_00531,Model-Supported,Housekeeping / lineage marker,True,False,False,True,True,False,False
GF_00365,class II fructose-bisphosphatase,glpX,Other / unassigned,0.5672181945703187,True,1,GF_00094,Model-Supported,Other / unassigned,True,False,False,True,True,False,False
GF_01931,30S ribosomal protein S1,,Housekeeping / lineage marker,0.5778953964072419,True,2,GF_01399;GF_01648,Model-Supported,Housekeeping / lineage marker,True,False,False,True,True,False,False
GF_00675,50S ribosomal protein L7/L12,rplL,Housekeeping / lineage marker,0.5920362146469967,True,1,GF_01460,Model-Supported,Housekeeping / lineage marker,True,False,False,True,True,False,False
GF_01559,30S ribosomal protein S7,rpsG,Housekeeping / lineage marker,0.5927026995255777,True,1,GF_00363,Model-Supported,Housekeeping / lineage marker,True,False,False,True,True,False,False
GF_00614,3-deoxy-7-phosphoheptulonate synthase,aroF,Other / unassigned,0.5980469158310924,True,3,GF_00330;GF_00493;GF_00790,Highly Pure;Model-Supported,Other / unassigned,True,True,False,True,True,False,False
GF_00625,translation initiation factor IF-1,infA,Other / unassigned,0.5999677896411524,True,1,GF_00343,Model-Supported,Other / unassigned,True,False,False,True,True,False,False
GF_00148,ATP-dependent Clp protease proteolytic subunit,clpP_2,Other / unassigned,0.613117823835977,True,4,GF_00079;GF_00341;GF_00463;GF_01689,Highly Pure;Model-Supported,Other / unassigned,True,True,False,True,True,False,False
GF_00451,adenosylhomocysteinase,ahcY,Other / unassigned,0.6166161309627999,True,2,GF_00523;GF_00866,Model-Supported,Other / unassigned,True,False,False,True,True,False,False
GF_00240,chaperonin GroEL,groL,Other / unassigned,0.6196394562549727,True,2,GF_01799;GF_01817,Highly Pure;Model-Supported,Other / unassigned,True,True,False,True,True,False,False
GF_01825,1-deoxy-D-xylulose-5-phosphate synthase,dxs,Other / unassigned,0.6267339501602043,True,1,GF_01549,Model-Supported,Other / unassigned,True,False,False,True,True,False,False
GF_00982,circadian clock protein KaiC,kaiC,Other / unassigned,0.628812220208629,True,1,GF_00726,Model-Supported,Other / unassigned,True,False,False,True,True,False,False
GF_00123,acetyl-CoA carboxylase biotin carboxylase subunit,accC,Other / unassigned,0.6440087546155921,True,1,GF_01541,Model-Supported,Other / unassigned,True,False,False,True,True,False,False
GF_00974,dihydroorotase,,Other / unassigned,0.6443329354803033,True,2,GF_00140;GF_00364,Highly Pure;Model-Supported,Other / unassigned,True,True,False,True,True,False,False
GF_00368,global nitrogen regulator NtcA,ntcA,Regulation,0.645062318310731,True,1,GF_00093,Model-Supported,Regulation,True,False,False,True,True,False,False
GF_00630,elongation factor Tu,tuf,Other / unassigned,0.6560288547914003,True,1,GF_00349,Model-Supported,Other / unassigned,True,False,False,True,True,False,False
GF_02525,tryptophan synthase subunit beta,trpB,Other / unassigned,0.6645170411090608,True,1,GF_01527,Model-Supported,Other / unassigned,True,False,False,True,True,False,False
GF_02111,peptide chain release factor 1,prfA,Other / unassigned,0.6708411734202541,True,1,GF_00323,Model-Supported,Other / unassigned,True,False,False,True,True,False,False
GF_01962,CTP synthase,,Other / unassigned,0.6844420982393922,True,1,GF_01690,Model-Supported,Other / unassigned,True,False,False,True,True,False,False
GF_00066,F0F1 ATP synthase subunit alpha,,Housekeeping / lineage marker,0.6914205945749258,True,1,GF_00857,Model-Supported,Housekeeping / lineage marker,True,False,False,True,True,False,False
GF_00808,extracellular matrix/biofilm regulator RemA,remA,Regulation,0.7043825968196478,True,1,GF_00524,Model-Supported,Regulation,True,False,False,True,True,False,False
GF_00177,dihydroxy-acid dehydratase,ilvD,Other / unassigned,0.7105652904882727,True,1,GF_00488,Model-Supported,Other / unassigned,True,False,False,True,True,False,False
GF_00330,rod shape-determining protein,,Other / unassigned,0.7120510231842242,True,1,GF_00435,Model-Supported,Other / unassigned,True,False,False,True,True,False,False
GF_00902,inorganic diphosphatase,,Other / unassigned,0.7123604024053107,True,1,GF_00360,Model-Supported,Other / unassigned,True,False,False,True,True,False,False
GF_00224,chorismate synthase,aroC,Other / unassigned,0.7462746291813473,True,2,GF_00455;GF_00636,Model-Supported,Other / unassigned,True,False,False,True,True,False,False
GF_00874,30S ribosomal protein S14,rpsN,Housekeeping / lineage marker,0.7523727850693712,True,1,GF_01745,Model-Supported,Housekeeping / lineage marker,True,False,False,True,True,False,False
GF_01960,50S ribosomal protein L19,rplS,Housekeeping / lineage marker,0.7598352673923506,True,2,GF_00229;GF_00365,Model-Supported,Housekeeping / lineage marker,True,False,False,True,True,False,False
GF_02395,magnesium chelatase ATPase subunit I,bchI,Other / unassigned,0.7718497342911622,True,1,GF_01383,Model-Supported,Other / unassigned,True,False,False,True,True,False,False
GF_00638,ATP-dependent zinc metalloprotease FtsH2,ftsH2,Housekeeping / lineage marker,0.8295730107390211,True,2,GF_00125;GF_00413,Model-Supported,Housekeeping / lineage marker,True,False,False,True,True,False,False
GF_02167,aspartate aminotransferase,,Other / unassigned,0.8751459944663351,True,2,GF_00617;GF_01404,Model-Supported,Other / unassigned,True,False,False,True,True,False,False
GF_01906,F0F1 ATP synthase subunit beta,atpD,Housekeeping / lineage marker,0.880654027944093,True,1,GF_01580,Model-Supported,Housekeeping / lineage marker,True,False,False,True,True,False,False
GF_00355,nucleoside-diphosphate kinase,ndk,Other / unassigned,0.9442651061690112,True,1,GF_00406,Model-Supported,Other / unassigned,True,False,False,True,True,False,False
GF_00397,nucleoside-diphosphate kinase,ndk,Other / unassigned,0.9468945877751396,True,1,GF_00406,Model-Supported,Other / unassigned,True,False,False,True,True,False,False
GF_02152,phosphoglucomutase/phosphomannomutase family protein,,Other / unassigned,0.4118927859363878,False,2,GF_01866;GF_01909,Highly Pure;Model-Supported,Other / unassigned,True,True,False,True,True,False,False
GF_02387,NYN domain-containing protein,,Other / unassigned,0.4274656205550454,False,3,GF_00464;GF_00771;GF_02130,Highly Pure;Model-Supported,Other / unassigned,True,True,False,True,True,False,False
GF_01742,NYN domain-containing protein,,Other / unassigned,0.4779009354486512,False,3,GF_00464;GF_00771;GF_02130,Highly Pure;Model-Supported,Other / unassigned,True,True,False,True,True,False,False
GF_01237,NYN domain-containing protein,,Other / unassigned,0.4903217864720145,False,3,GF_00464;GF_00771;GF_02130,Highly Pure;Model-Supported,Other / unassigned,True,True,False,True,True,False,False
GF_00334,NAD-dependent epimerase/dehydratase family protein,,Other / unassigned,0.596082734357905,False,3,GF_00047;GF_00293;GF_00807,Highly Pure;Model-Supported,Other / unassigned,True,True,False,True,True,False,False
GF_01566,GDP-L-fucose synthase family protein,,Other / unassigned,0.7326621716270042,False,2,GF_00430;GF_02184,Model-Supported,Other / unassigned,True,False,False,True,True,False,False
GF_00333,NAD-dependent epimerase/dehydratase family protein,,Other / unassigned,0.7383549027812277,False,3,GF_00047;GF_00293;GF_00807,Highly Pure;Model-Supported,Other / unassigned,True,True,False,True,True,False,False
GF_01500,Ycf34 family protein,,Other / unassigned,0.9326824317743044,False,1,GF_00251,Model-Supported,Other / unassigned,True,False,False,True,True,False,False
GF_00754,phosphoketolase,,Other / unassigned,0.1839478670473631,True,2,GF_00491;GF_01464,Highly Pure,Other / unassigned,False,True,False,True,True,False,False
GF_00970,photosystem I reaction center subunit IV,,Housekeeping / lineage marker,0.4924484743333832,True,1,GF_00795,Highly Pure,Housekeeping / lineage marker,False,True,False,True,True,False,False
GF_01223,mannose-1-phosphate guanyltransferase,,Other / unassigned,0.5300912329995306,True,1,GF_01529,Highly Pure,Other / unassigned,False,True,False,True,True,False,False
GF_02396,phosphoenolpyruvate synthase,ppsA,Housekeeping / lineage marker,0.5645724879399865,True,1,GF_02115,Highly Pure,Other / unassigned,False,True,False,True,True,False,False
GF_01961,30S ribosomal protein S2,rpsB,Housekeeping / lineage marker,0.9531908125303624,True,1,GF_00301,Highly Pure,Housekeeping / lineage marker,False,True,False,True,True,False,False
GF_01823,creatininase family protein,,Other / unassigned,0.2460063763628154,False,1,GF_01546,Highly Pure,Other / unassigned,False,True,False,True,True,False,False
GF_00505,creatininase family protein,,Other / unassigned,0.4997172206361921,False,1,GF_01546,Highly Pure,Other / unassigned,False,True,False,True,True,False,False
GF_00336,type I glyceraldehyde-3-phosphate dehydrogenase,gap,Other / unassigned,0.2737593251608713,True,2,GF_01386;GF_01834,Model-Supported,Other / unassigned,True,False,True,False,False,False,False
GF_00196,ferredoxin:protochlorophyllide reductase (ATP-dependent) subunit B,bchB,O2 protection & redox homeostasis,0.3345213522420467,True,1,GF_00136,Model-Supported,O2 protection & redox homeostasis,True,False,True,True,False,False,False
GF_01001,cytochrome b6-f complex iron-sulfur subunit,petC,Metallocluster & Fe-S biogenesis,0.3483524107995772,True,1,GF_02113,Model-Supported,Metallocluster & Fe-S biogenesis,True,False,True,False,False,False,False
GF_01028,cytochrome b559 subunit alpha,psbE,Housekeeping / lineage marker,0.3541767996603264,True,2,GF_01673;GF_01927,Model-Supported,Respiration & bioenergetics,True,False,True,False,False,False,False
GF_00591,sulfite oxidase-like oxidoreductase,,Respiration & bioenergetics,0.3985395827905686,True,1,GF_01242,Model-Supported,Respiration & bioenergetics,True,False,True,False,False,False,False
GF_01761,peroxiredoxin,,O2 protection & redox homeostasis,0.4042993431708273,True,5,GF_00265;GF_00972;GF_01674;GF_01763;GF_02123,Highly Pure;Model-Supported,O2 protection & redox homeostasis,True,True,True,False,False,False,False
GF_00644,photosynthetic/respiratory NAD(P)H-quinone oxidoreductase subunit K,ndhK,Respiration & bioenergetics,0.4183265487480856,True,1,GF_01816,Model-Supported,Respiration & bioenergetics,True,False,True,False,False,False,False
GF_00580,ferredoxin thioredoxin reductase catalytic beta subunit,,O2 protection & redox homeostasis,0.4278807206898407,True,1,GF_00305,Model-Supported,O2 protection & redox homeostasis,True,False,True,False,False,False,False
GF_01496,Grx4 family monothiol glutaredoxin,grxD,O2 protection & redox homeostasis,0.4399196896639519,True,1,GF_01234,Model-Supported,O2 protection & redox homeostasis,True,False,True,True,False,False,False
GF_01033,Fe-S cluster assembly ATPase SufC,sufC,Metallocluster & Fe-S biogenesis,0.4530358532673563,True,1,GF_00605,Model-Supported,Metallocluster & Fe-S biogenesis,True,False,True,False,False,False,False
GF_02443,peroxiredoxin,,O2 protection & redox homeostasis,0.4530918132025984,True,5,GF_00265;GF_00972;GF_01674;GF_01763;GF_02123,Highly Pure;Model-Supported,O2 protection & redox homeostasis,True,True,True,False,False,False,False
GF_00237,cytochrome b6-f complex subunit V,petG,Respiration & bioenergetics,0.4561987105494716,True,2,GF_00400;GF_02142,Model-Supported,Respiration & bioenergetics,True,False,True,False,False,False,False
GF_01813,photosynthetic/respiratory NAD(P)H-quinone oxidoreductase subunit K,ndhK,Respiration & bioenergetics,0.4662227752001494,True,1,GF_01816,Model-Supported,Respiration & bioenergetics,True,False,True,False,False,False,False
GF_01156,photosynthetic/respiratory NAD(P)H-quinone oxidoreductase subunit D1,ndhD1,Respiration & bioenergetics,0.480457964376456,True,1,GF_02089,Model-Supported,Respiration & bioenergetics,True,False,True,False,False,False,False
GF_00869,peroxiredoxin,,O2 protection & redox homeostasis,0.4838262153821706,True,5,GF_00265;GF_00972;GF_01674;GF_01763;GF_02123,Highly Pure;Model-Supported,O2 protection & redox homeostasis,True,True,True,False,False,False,False
GF_02389,cytochrome b6-f complex subunit PetN,petN,Respiration & bioenergetics,0.5111209296294545,True,1,GF_02263,Model-Supported,Respiration & bioenergetics,True,False,True,False,False,False,False
GF_00390,S-(hydroxymethyl)glutathione dehydrogenase/class III alcohol dehydrogenase,,Other / unassigned,0.5159215600723899,True,1,GF_00122,Model-Supported,Other / unassigned,True,False,True,False,False,False,False
GF_00996,3-isopropylmalate dehydrogenase,leuB,Other / unassigned,0.5244339415382591,True,1,GF_00741,Model-Supported,Other / unassigned,True,False,True,True,False,False,False
GF_01810,ferredoxin:protochlorophyllide reductase (ATP-dependent) subunit N,,O2 protection & redox homeostasis,0.5449522036335332,True,1,GF_01623,Model-Supported,O2 protection & redox homeostasis,True,False,True,False,False,False,False
GF_00671,type I glyceraldehyde-3-phosphate dehydrogenase,,Other / unassigned,0.5833452520100859,True,2,GF_01386;GF_01834,Model-Supported,Other / unassigned,True,False,True,False,False,False,False
GF_01765,pyruvate dehydrogenase (acetyl-transferring) E1 component subunit alpha,pdhA,Other / unassigned,0.5868268843647045,True,1,GF_01811,Model-Supported,Other / unassigned,True,False,True,False,False,False,False
GF_00435,zinc-dependent dehydrogenase,,Other / unassigned,0.6051747285085666,True,1,GF_01629,Model-Supported,Other / unassigned,True,False,True,False,False,False,False
GF_02360,cytochrome b559 subunit alpha,psbE,Housekeeping / lineage marker,0.6108856811263198,True,2,GF_01673;GF_01927,Model-Supported,Respiration & bioenergetics,True,False,True,False,False,False,False
GF_00992,cytochrome b559 subunit beta,psbF,Housekeeping / lineage marker,0.6243214547130054,True,2,GF_00414;GF_01230,Model-Supported,Respiration & bioenergetics,True,False,True,False,False,False,False
GF_00608,ferredoxin:protochlorophyllide reductase (ATP-dependent) iron-sulfur ATP-binding protein,bchL,Metallocluster & Fe-S biogenesis,0.6507474574171979,True,1,GF_00326,Model-Supported,Metallocluster & Fe-S biogenesis,True,False,True,True,False,False,False
GF_00856,ferredoxin:protochlorophyllide reductase (ATP-dependent) subunit N,,O2 protection & redox homeostasis,0.7561857559221189,True,1,GF_01623,Model-Supported,O2 protection & redox homeostasis,True,False,True,False,False,False,False
GF_00900,ArsJ-associated glyceraldehyde-3-phosphate dehydrogenase,,Other / unassigned,0.8379914476690711,True,1,GF_00856,Model-Supported,Other / unassigned,True,False,True,False,False,False,False
GF_02205,cytochrome c oxidase subunit I,ctaD,Respiration & bioenergetics,0.8761780410152099,True,3,GF_00049;GF_00238;GF_01652,Highly Pure;Model-Supported,Respiration & bioenergetics,True,True,True,False,False,False,False
GF_00402,peroxiredoxin,,O2 protection & redox homeostasis,0.90213911216583,True,5,GF_00265;GF_00972;GF_01674;GF_01763;GF_02123,Highly Pure;Model-Supported,O2 protection & redox homeostasis,True,True,True,False,False,False,False
GF_00387,cytochrome c oxidase subunit I,ctaD,Respiration & bioenergetics,0.98759465420856,True,3,GF_00049;GF_00238;GF_01652,Highly Pure;Model-Supported,Respiration & bioenergetics,True,True,True,False,False,False,False
GF_00265,CoB--CoM heterodisulfide reductase iron-sulfur subunit B family protein,,Metallocluster & Fe-S biogenesis,0.4575905819739471,False,1,GF_00564,Model-Supported,Metallocluster & Fe-S biogenesis,True,False,True,False,False,False,False
GF_01667,manganese catalase family protein,,O2 protection & redox homeostasis,0.629356664398159,False,1,GF_01462,Model-Supported,O2 protection & redox homeostasis,True,False,True,False,False,False,False
GF_01199,4Fe-4S dicluster domain-containing protein,,Metallocluster & Fe-S biogenesis,0.8642741225591475,False,1,GF_02059,Model-Supported,Metallocluster & Fe-S biogenesis,True,False,True,False,False,False,False
GF_00199,2Fe-2S iron-sulfur cluster-binding protein,,Metallocluster & Fe-S biogenesis,0.3024843009661396,True,4,GF_01495;GF_01515;GF_01668;GF_01883,Highly Pure,Metallocluster & Fe-S biogenesis,False,True,True,False,False,False,False
GF_01922,(Fe-S)-binding protein,,Metallocluster & Fe-S biogenesis,0.3446981272519381,True,1,GF_00297,Highly Pure,Metallocluster & Fe-S biogenesis,False,True,True,False,False,False,False
GF_02166,succinate dehydrogenase/fumarate reductase flavoprotein subunit,,Respiration & bioenergetics,0.9772998553920677,True,1,GF_00411,Highly Pure,Respiration & bioenergetics,False,True,True,False,False,False,False
GF_02181,30S ribosomal protein S10,rpsJ,Housekeeping / lineage marker,0.0420328226545005,True,1,GF_01899,Model-Supported,Housekeeping / lineage marker,True,False,False,True,False,False,False
GF_00360,30S ribosomal protein S11,rpsK,Housekeeping / lineage marker,0.0426209567148008,True,1,GF_00087,Model-Supported,Housekeeping / lineage marker,True,False,False,True,False,False,False
GF_00207,response regulator transcription factor,,Regulation,0.0439885416697772,True,15,GF_00235;GF_00367;GF_00373;GF_00412;GF_00698;GF_00832;GF_00859;GF_00863;GF_00992;GF_01023;GF_01240;GF_01326;GF_01426;GF_01930;GF_02100,Highly Pure;Model-Supported,Regulation,True,True,False,False,False,False,False
GF_02458,30S ribosomal protein S12,rpsL,Housekeeping / lineage marker,0.0512532086320397,True,1,GF_01579,Model-Supported,Housekeeping / lineage marker,True,False,False,False,False,False,False
GF_00975,cysteine synthase A,cysK,Other / unassigned,0.1297666902303358,True,4,GF_00611;GF_00717;GF_00874;GF_01381,Highly Pure;Model-Supported,Other / unassigned,True,True,False,True,False,False,False
GF_01637,phosphate ABC transporter ATP-binding protein PstB,pstB,Transport,0.1794053483335446,True,2,GF_01359;GF_01442,Highly Pure;Model-Supported,Transport,True,True,False,False,False,False,False
GF_01958,nitrate ABC transporter permease,ntrB,Transport,0.182651557834998,True,2,GF_00338;GF_02155,Highly Pure;Model-Supported,Transport,True,True,False,False,False,False,False
GF_01020,50S ribosomal protein L16,,Housekeeping / lineage marker,0.1883997645405877,True,1,GF_00755,Model-Supported,Housekeeping / lineage marker,True,False,False,True,False,False,False
GF_00610,response regulator transcription factor,,Regulation,0.191982914990941,True,15,GF_00235;GF_00367;GF_00373;GF_00412;GF_00698;GF_00832;GF_00859;GF_00863;GF_00992;GF_01023;GF_01240;GF_01326;GF_01426;GF_01930;GF_02100,Highly Pure;Model-Supported,Regulation,True,True,False,False,False,False,False
GF_00364,adenylosuccinate synthase,,Other / unassigned,0.2092586005297414,True,2,GF_00436;GF_01291,Model-Supported,Other / unassigned,True,False,False,True,False,False,False
GF_00296,30S ribosomal protein S21,rpsU,Housekeeping / lineage marker,0.2248285878674052,True,3,GF_00604;GF_01293;GF_01850,Highly Pure;Model-Supported,Housekeeping / lineage marker,True,True,False,False,False,False,False
GF_01789,twin-arginine translocase subunit TatC,tatC,Other / unassigned,0.2305768968113087,True,1,GF_00669,Model-Supported,Other / unassigned,True,False,False,False,False,False,False
GF_00659,YifB family Mg chelatase-like AAA ATPase,,Other / unassigned,0.2444207885776344,True,1,GF_00387,Model-Supported,Other / unassigned,True,False,False,False,False,False,False
