accession	organism_name	assembly_level	number_of_contigs	contig_n50	number_of_scaffolds	scaffold_n50	total_ungapped_length	gc_percent	coverage	annotation_name	annotation_date	checkm_completeness	checkm_contamination	genome_notes	derived_from_metagenome	annotation_fails_MAG_check	assembly_accession	_is_refseq	_is_complete
GCF_044923475.1	{'infraspecific_names': {'strain': 'CCNU0014'}, 'organism_name': 'Altericista sp. CCNU0014', 'tax_id': 3082949}	Complete Genome	1	5791642	1	5791642	5791642	51.5	187.0	GCF_044923475.1-RS_2024_11_16					0	0	GCF_044923475.1	True	True
GCF_047275885.1	{'infraspecific_names': {'strain': 'SJ-1'}, 'organism_name': 'Anabaena azotica SJ-1', 'tax_id': 3392114}	Complete Genome	9	6115153	9	6115153	6477821	38.5	80.0	GCF_047275885.1-RS_2025_01_28					0	0	GCF_047275885.1	True	True
GCF_000317695.1	{'infraspecific_names': {'strain': 'PCC 7122'}, 'organism_name': 'Anabaena cylindrica PCC 7122', 'tax_id': 272123}	Complete Genome	7	6395836	7	6395836	7063285	39.0	30.0	GCF_000317695.1-RS_2025_04_26					0	0	GCF_000317695.1	True	True
GCF_000312705.1	{'infraspecific_names': {'strain': '90'}, 'organism_name': 'Anabaena sp. 90', 'tax_id': 46234}	Complete Genome	5	4329264	5	4329264	5305675	38.0		GCF_000312705.1-RS_2024_08_22					0	0	GCF_000312705.1	True	True
GCF_048568275.1	{'infraspecific_names': {'strain': 'FACHB-595'}, 'organism_name': 'Anabaena sp. FACHB-595', 'tax_id': 3403436}	Complete Genome	6	6411132	6	6411132	7177355	41.5	432.0	GCF_048568275.1-RS_2025_03_14					0	0	GCF_048568275.1	True	True
GCF_048568235.1	{'infraspecific_names': {'strain': 'FACHB-709'}, 'organism_name': 'Anabaena sp. FACHB-709', 'tax_id': 1086822}	Complete Genome	7	6412411	7	6412411	7214617	41.5	1345.0	GCF_048568235.1-RS_2025_03_14					0	0	GCF_048568235.1	True	True
GCF_049315035.1	{'infraspecific_names': {'strain': 'ATCC 29414'}, 'organism_name': 'Anabaena sp. PCC 7938', 'tax_id': 1296340}	Complete Genome	8	6354663	8	6354663	7043253	39.0	60.0	GCF_049315035.1-RS_2025_04_07					0	0	GCF_049315035.1	True	True
GCF_001277295.1	{'infraspecific_names': {'isolate': '1', 'strain': 'WA102'}, 'organism_name': 'Anabaena sp. WA102', 'tax_id': 1647413}	Complete Genome	2	5705437	2	5705437	5782034	38.5	50.0	GCF_001277295.1-RS_2025_08_25					0	0	GCF_001277295.1	True	True
GCF_009498015.1	{'infraspecific_names': {'strain': 'YBS01'}, 'organism_name': 'Anabaena sp. YBS01', 'tax_id': 2490939}	Complete Genome	1	7013200	1	7013200	7013200	41.5	215.0	GCF_009498015.1-RS_2024_07_31					0	0	GCF_009498015.1	True	True
GCF_018389385.1	{'infraspecific_names': {'strain': 'C109'}, 'organism_name': 'Anthocerotibacter panamensis C109', 'tax_id': 2778476}	Complete Genome	1	4187797	1	4187797	4187797	55.5	100.0	GCF_018389385.1-RS_2025_11_20					0	0	GCF_018389385.1	True	True
GCF_016745315.1	{'infraspecific_names': {'strain': 'PCC 9108'}, 'organism_name': 'Arthrospira sp. PCC 9108', 'tax_id': 147317}	Complete Genome	1	6763964	1	6763964	6763964	44.0	191.0	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)					0	0	GCF_016745315.1	True	True
GCF_003060805.1	{'infraspecific_names': {'strain': 'TJSD092'}, 'organism_name': 'Arthrospira sp. TJSD092', 'tax_id': 2153484}	Complete Genome	1	6434389	1	6434389	6434389	45.0	190.0	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)					0	0	GCF_003060805.1	True	True
GCF_000734895.2	{'infraspecific_names': {'strain': '336/3'}, 'organism_name': 'Calothrix sp. 336/3', 'tax_id': 1337936}	Complete Genome	4	6283267	4	6283267	6420126	41.0	100.0	GCF_000734895.2-RS_2024_08_22					0	0	GCF_000734895.2	True	True
GCF_002368175.1	{'infraspecific_names': {'strain': 'NIES-2098'}, 'organism_name': 'Calothrix sp. NIES-2098', 'tax_id': 1954171}	Complete Genome	2	8656060	2	8656060	8878628	41.0	93.0	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)					0	0	GCF_002368175.1	True	True
GCF_002368395.1	{'infraspecific_names': {'strain': 'NIES-3974'}, 'organism_name': 'Calothrix sp. NIES-3974', 'tax_id': 2005462}	Complete Genome	1	5985875	1	5985875	5985875	41.5	109.0	GCF_002368395.1-RS_2025_08_25					0	0	GCF_002368395.1	True	True
GCF_002368455.1	{'infraspecific_names': {'strain': 'NIES-4071'}, 'organism_name': 'Calothrix sp. NIES-4071', 'tax_id': 2005469}	Complete Genome	9	11064963	9	11064963	12049274	39.0	57.0	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)					0	0	GCF_002368455.1	True	True
GCF_000317435.1	{'infraspecific_names': {'strain': 'PCC 6303'}, 'organism_name': 'Calothrix sp. PCC 6303', 'tax_id': 1170562}	Complete Genome	4	6767834	4	6767834	6960392	40.0	30.0	GCF_000317435.1-RS_2025_02_14					0	0	GCF_000317435.1	True	True
GCF_000316575.1	{'infraspecific_names': {'strain': 'PCC 7507'}, 'organism_name': 'Calothrix sp. PCC 7507', 'tax_id': 99598}	Complete Genome	1	7023215	1	7023215	7023215	42.0	30.0	GCF_000316575.1-RS_2024_08_13					0	0	GCF_000316575.1	True	True
GCF_019977735.1	{'infraspecific_names': {'strain': 'PCC 7716'}, 'organism_name': 'Calothrix sp. PCC 7716', 'tax_id': 2853227}	Complete Genome	10	11423121	10	11423121	12367066	38.5	35.0	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)					0	0	GCF_019977735.1	True	True
GCF_000025125.1	{'infraspecific_names': {'isolate': 'ALOHA', 'strain': 'ALOHA'}, 'organism_name': 'Candidatus Atelocyanobacterium thalassa isolate ALOHA', 'tax_id': 1453429}	Complete Genome	1	1443806	1	1443806	1443806	31.0		GCF_000025125.1-RS_2025_07_20					0	0	GCF_000025125.1	True	True
GCF_047276495.1	{'infraspecific_names': {'isolate': 'ALCB114379'}, 'organism_name': 'Capilliphycus salinus ALCB114379', 'tax_id': 1972598}	Complete Genome	1	7712874	1	7712874	7712874	43.0	111.78	GCF_047276495.1-RS_2025_01_28					0	0	GCF_047276495.1	True	True
GCF_043099315.1	{'infraspecific_names': {'strain': 'PCC 6912'}, 'organism_name': 'Chlorogloeopsis fritschii PCC 6912', 'tax_id': 211165}	Complete Genome	3	7528720	3	7528720	7850473	41.5	860.0	GCF_043099315.1-RS_2024_10_15					0	0	GCF_043099315.1	True	True
GCF_043099305.1	{'infraspecific_names': {'strain': 'PCC 9212'}, 'organism_name': 'Chlorogloeopsis fritschii PCC 9212', 'tax_id': 184925}	Complete Genome	3	7409323	3	7409323	7731072	41.5	807.0	GCF_043099305.1-RS_2024_10_15					0	0	GCF_043099305.1	True	True
GCF_002368355.1	{'infraspecific_names': {'strain': 'NIES-4102'}, 'organism_name': 'Chondrocystis sp. NIES-4102', 'tax_id': 2005460}	Complete Genome	7	4516676	7	4516676	5002520	36.5	85.0	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)					0	0	GCF_002368355.1	True	True
GCF_023546805.1	{'infraspecific_names': {'strain': 'CCNUC1'}, 'organism_name': 'Chroococcidiopsis sp. CCNUC1', 'tax_id': 2653189}	Complete Genome	3	6353536	3	6353536	6955760	44.5	100.0	GCF_023546805.1-RS_2024_08_27					0	0	GCF_023546805.1	True	True
GCF_000317125.1	{'infraspecific_names': {'strain': 'PCC 7203'}, 'organism_name': 'Chroococcidiopsis thermalis PCC 7203', 'tax_id': 251229}	Complete Genome	3	6315792	3	6315792	6689401	44.5	30.0	GCF_000317125.1-RS_2025_05_02					0	0	GCF_000317125.1	True	True
GCF_000317495.1	{'infraspecific_names': {'strain': 'PCC 9333'}, 'organism_name': 'Crinalium epipsammum PCC 9333', 'tax_id': 1173022}	Complete Genome	9	5315554	9	5315554	5620407	40.0	30.0	GCF_000317495.1-RS_2025_11_20					0	0	GCF_000317495.1	True	True
GCF_000017845.1	{'infraspecific_names': {'strain': 'ATCC 51142'}, 'organism_name': 'Crocosphaera subtropica ATCC 51142', 'tax_id': 43989}	Complete Genome	6	4934271	6	4934271	5460377	38.0		GCF_000017845.1-RS_2025_04_15					0	0	GCF_000017845.1	True	True
GCF_050563455.1	{'infraspecific_names': {'strain': 'WH 8501'}, 'organism_name': 'Crocosphaera watsonii WH 8501', 'tax_id': 165597}	Complete Genome	4	6132292	4	6132292	6283531	37.0	91.0	GCF_050563455.1-RS_2025_05_26					0	0	GCF_050563455.1	True	True
GCF_033798705.1	{'infraspecific_names': {'strain': 'AL20115'}, 'organism_name': 'Cyanobacterium aponinum AL20115', 'tax_id': 3090662}	Complete Genome	7	4267295	7	4267295	4306969	35.0	644.7	GCF_033798705.1-RS_2025_12_04					0	0	GCF_033798705.1	True	True
GCF_045345185.1	{'infraspecific_names': {'strain': 'AL20118'}, 'organism_name': 'Cyanobacterium aponinum AL20118', 'tax_id': 3133088}	Complete Genome	7	4266140	7	4266140	4306293	35.0	503.1	GCF_045345185.1-RS_2024_11_27					0	0	GCF_045345185.1	True	True
GCF_000317675.1	{'infraspecific_names': {'strain': 'PCC 10605'}, 'organism_name': 'Cyanobacterium aponinum PCC 10605', 'tax_id': 755178}	Complete Genome	2	4114099	2	4114099	4176973	35.0	30.0	GCF_000317675.1-RS_2025_08_19					0	0	GCF_000317675.1	True	True
GCF_035320825.1	{'infraspecific_names': {'strain': 'UTEX 3221'}, 'organism_name': 'Cyanobacterium aponinum UTEX 3221', 'tax_id': 3088144}	Complete Genome	1	4280321	1	4280321	4280321	35.0	200.0	GCF_035320825.1-RS_2025_01_09					0	0	GCF_035320825.1	True	True
GCF_038630775.1	{'infraspecific_names': {'strain': 'UTEX 3222'}, 'organism_name': 'Cyanobacterium aponinum UTEX 3222', 'tax_id': 3088145}	Complete Genome	1	4417119	1	4417119	4417119	35.0	82.0	GCF_038630775.1-RS_2025_04_30					0	0	GCF_038630775.1	True	True
GCF_020885515.1	{'infraspecific_names': {'isolate': 'CPSB-1'}, 'organism_name': 'cyanobacterium endosymbiont of Braarudosphaera bigelowii', 'tax_id': 1285375}	Complete Genome	1	1491611	1	1491611	1491611	31.0	1400.0	GCF_020885515.1-RS_2025_07_20					0	0	GCF_020885515.1	True	True
GCF_029919255.1	{'infraspecific_names': {'isolate': 'Gazos Creek', 'strain': 'EcSB'}, 'organism_name': 'cyanobacterium endosymbiont of Epithemia clementina EcSB', 'tax_id': 3034674}	Complete Genome	1	3072807	1	3072807	3072807	34.5	500.0	GCF_029919255.1-RS_2025_11_23					0	0	GCF_029919255.1	True	True
GCF_000829235.1	{'infraspecific_names': {'isolate': 'ETSB Lake Yunoko'}, 'organism_name': 'cyanobacterium endosymbiont of Epithemia turgida isolate EtSB Lake Yunoko', 'tax_id': 1228987}	Complete Genome	1	2794318	1	2794318	2794318	33.5	144.0	GCF_000829235.1-RS_2025_12_13					0	0	GCF_000829235.1	True	True
GCF_003574135.1	{'infraspecific_names': {'isolate': 'cyanobacterium endosymbiont of Rhopalodia gibberula isolate RgSB Namiki Park'}, 'organism_name': 'cyanobacterium endosymbiont of Rhopalodia gibberula', 'tax_id': 1763363}	Complete Genome	1	3020309	1	3020309	3020309	34.0	460.0	GCF_003574135.1-RS_2025_03_28					0	0	GCF_003574135.1	True	True
GCF_036345015.1	{'infraspecific_names': {'strain': 'DS4'}, 'organism_name': 'Cyanobacterium sp. DS4', 'tax_id': 2878255}	Complete Genome	5	4250085	5	4250085	4320404	35.0	260.0	GCF_036345015.1-RS_2025_05_11					0	0	GCF_036345015.1	True	True
GCF_002813895.1	{'infraspecific_names': {'isolate': 'HL-69'}, 'organism_name': 'Cyanobacterium sp. HL-69', 'tax_id': 2054282}	Complete Genome	3	3155247	3	3155247	3296945	37.5	59.0	GCF_002813895.1-RS_2025_09_29					0	0	GCF_002813895.1	True	True
GCF_001747005.2	{'infraspecific_names': {'strain': 'IPPAS B-1200'}, 'organism_name': 'Cyanobacterium sp. IPPAS B-1200', 'tax_id': 1562720}	Complete Genome	10	3122734	10	3122734	3476869	37.5	70.0	GCF_001747005.2-RS_2025_09_29					0	0	GCF_001747005.2	True	True
GCF_947331815.1	{'infraspecific_names': {'isolate': '25016'}, 'organism_name': 'Cyanobacterium sp. uoEpiScrs1', 'tax_id': 2976343}	Complete Genome	1	2483960	1	2483960	2483960	33.5	298.0	GCF_947331815.1-RS_2025_02_26					0	0	GCF_947331815.1	True	True
GCF_000317655.1	{'infraspecific_names': {'strain': 'PCC 7202'}, 'organism_name': 'Cyanobacterium stanieri PCC 7202', 'tax_id': 292563}	Complete Genome	1	3163381	1	3163381	3163381	38.5	30.0						0	0	GCF_000317655.1	True	True
GCF_000316515.1	{'infraspecific_names': {'strain': 'PCC 6307'}, 'organism_name': 'Cyanobium gracile PCC 6307', 'tax_id': 292564}	Complete Genome	1	3342364	1	3342364	3342364	68.5	30.0	GCF_000316515.1-RS_2025_05_02					0	0	GCF_000316515.1	True	True
GCF_050920705.1	{'infraspecific_names': {'isolate': 'BSA11S'}, 'organism_name': 'Cyanobium sp. BSA11S', 'tax_id': 3108224}	Complete Genome	1	3073547	1	3073547	3073547	65.5	100.0	GCF_050920705.1-RS_2025_06_16					0	0	GCF_050920705.1	True	True
GCF_018399015.1	{'infraspecific_names': {'isolate': 'M30B3'}, 'organism_name': 'Cyanobium sp. M30B3', 'tax_id': 2831057}	Complete Genome	1	3180296	1	3180296	3180296	68.0	1928.0	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)					0	0	GCF_018399015.1	True	True
GCF_900088535.1	{'infraspecific_names': {'strain': 'NIES-981'}, 'organism_name': 'Cyanobium sp. NIES-981', 'tax_id': 1851505}	Complete Genome	1	3021545	1	3021545	3021545	68.5	220.0	GCF_900088535.1-RS_2024_08_13					0	0	GCF_900088535.1	True	True
GCF_014280235.1	{'infraspecific_names': {'strain': 'NS01'}, 'organism_name': 'Cyanobium sp. NS01', 'tax_id': 261284}	Complete Genome	1	2748087	1	2748087	2748087	68.0	3330.97	GCF_014280235.1-RS_2024_08_17					0	0	GCF_014280235.1	True	True
GCF_977927515.1	{'infraspecific_names': {'isolate': 'ena-SAMPLE-TAB-19-11-2025-09:23:59:194-151290'}, 'organism_name': 'Cyanobium sp. ULC065', 'tax_id': 2137202}	Complete Genome	1	3174230	1	3174230	3174230	66.0	100.0	GCF_977927515.1-RS_2025_12_20					0	0	GCF_977927515.1	True	True
GCF_977927535.1	{'infraspecific_names': {'isolate': 'ena-SAMPLE-TAB-19-11-2025-09:23:59:194-151288'}, 'organism_name': 'Cyanobium sp. ULC082', 'tax_id': 2137204}	Complete Genome	3	1744470	3	1744470	2939533	65.0	100.0	GCF_977927535.1-RS_2025_12_20					0	0	GCF_977927535.1	True	True
GCF_977927545.1	{'infraspecific_names': {'isolate': 'ena-SAMPLE-TAB-19-11-2025-09:23:59:194-151287'}, 'organism_name': 'Cyanobium sp. ULC084', 'tax_id': 2487359}	Complete Genome	2	3073311	2	3073311	3094986	65.0	100.0	GCF_977927545.1-RS_2025_12_20					0	0	GCF_977927545.1	True	True
GCF_963920485.1	{'infraspecific_names': {'isolate': 'KAC_108', 'strain': 'Tous'}, 'organism_name': 'Cyanobium usitatum str. Tous', 'tax_id': 2116684}	Complete Genome	1	2656680	1	2656680	2656680	62.5	40.0	GCF_963920485.1-RS_2025_12_10					0	0	GCF_963920485.1	True	True
GCF_014489415.1	{'infraspecific_names': {'strain': 'GIHE-G1'}, 'organism_name': 'Cylindrospermopsis curvispora GIHE-G1', 'tax_id': 2666332}	Complete Genome	2	3910736	2	3910736	4057210	40.0	100.0	GCF_014489415.1-RS_2025_12_16					0	0	GCF_014489415.1	True	True
GCF_003367075.2	{'infraspecific_names': {'strain': 'Cr2010'}, 'organism_name': 'Cylindrospermopsis raciborskii Cr2010', 'tax_id': 2108055}	Complete Genome	1	3757845	1	3757845	3757845	40.0	826.0	GCF_003367075.2-RS_2025_12_12					0	0	GCF_003367075.2	True	True
GCF_051201415.1	{'infraspecific_names': {'strain': 'G7'}, 'organism_name': 'Cylindrospermopsis raciborskii G7', 'tax_id': 3438228}	Complete Genome	1	4016649	1	4016649	4016649	40.5	250.0	GCF_051201415.1-RS_2025_07_03					0	0	GCF_051201415.1	True	True
GCF_021650815.1	{'infraspecific_names': {'strain': 'KLL07'}, 'organism_name': 'Cylindrospermopsis raciborskii KLL07', 'tax_id': 683357}	Complete Genome	1	3808183	1	3808183	3808183	40.0	500.0	GCF_021650815.1-RS_2024_08_13					0	0	GCF_021650815.1	True	True
GCF_018139025.1	{'infraspecific_names': {'strain': 'N8'}, 'organism_name': 'Cylindrospermopsis raciborskii N8', 'tax_id': 1524929}	Complete Genome	1	3857174	1	3857174	3857174	40.0	121.0	GCF_018139025.1-RS_2025_04_10					0	0	GCF_018139025.1	True	True
GCF_000317615.1	{'infraspecific_names': {'strain': 'PCC 8305'}, 'organism_name': 'Dactylococcopsis salina PCC 8305', 'tax_id': 13035}	Complete Genome	1	3781008	1	3781008	3781008	42.5	30.0	GCF_000317615.1-RS_2025_12_13					0	0	GCF_000317615.1	True	True
GCF_001746915.2	{'infraspecific_names': {'strain': 'IPPAS B-1220'}, 'organism_name': 'Desertifilum tharense IPPAS B-1220', 'tax_id': 1781255}	Complete Genome	2	6134953	2	6134953	6145247	48.5	83.0	GCF_001746915.2-RS_2025_08_24					0	0	GCF_001746915.2	True	True
GCF_012516395.1	{'infraspecific_names': {'strain': 'CCAP 1403/13f'}, 'organism_name': 'Dolichospermum flos-aquae CCAP 1403/13F', 'tax_id': 315271}	Complete Genome	2	5151752	2	5151752	5220684	38.0	114.08	GCF_012516395.1-RS_2025_08_25					0	0	GCF_012516395.1	True	True
GCF_024584745.1	{'infraspecific_names': {'strain': 'NIES-1697'}, 'organism_name': 'Dolichospermum heterosporum TAC447', 'tax_id': 747523}	Complete Genome	1	5833376	1	5833376	5833376	38.5	125.0	GCF_024584745.1-RS_2025_08_22					0	0	GCF_024584745.1	True	True
GCF_008121535.1	{'infraspecific_names': {'strain': 'UHCC 0315A'}, 'organism_name': 'Dolichospermum sp. UHCC 0315A', 'tax_id': 1914871}	Complete Genome	4	5407479	4	5407479	5642022	38.0	320.0	GCF_008121535.1-RS_2024_08_24					0	0	GCF_008121535.1	True	True
GCF_048077055.1	{'infraspecific_names': {'strain': 'FJBBOT/2019'}, 'organism_name': 'Egbenema bharatensis FJBBOT/2019', 'tax_id': 3398834}	Complete Genome	1	7506658	1	7506658	7506658	50.5	200.0	GCF_048077055.1-RS_2025_02_27					0	0	GCF_048077055.1	True	True
GCF_007904085.1	{'infraspecific_names': {'strain': 'Z-M001'}, 'organism_name': 'Euhalothece natronophila Z-M001', 'tax_id': 522448}	Complete Genome	5	3326959	5	3326959	3524308	41.0	1357.0	GCF_007904085.1-RS_2025_11_20					0	0	GCF_007904085.1	True	True
GCF_032393985.1	{'infraspecific_names': {'strain': 'JS2'}, 'organism_name': 'Fischerella sp. JS2', 'tax_id': 2597771}	Complete Genome	1	7020691	1	7020691	7020691	40.5	120.34	GCF_032393985.1-RS_2025_05_05					0	0	GCF_032393985.1	True	True
GCF_001548455.1	{'infraspecific_names': {'strain': 'NIES-3754'}, 'organism_name': 'Fischerella sp. NIES-3754', 'tax_id': 1752063}	Complete Genome	3	5821603	3	5821603	5826863	41.0	110.0	GCF_001548455.1-RS_2025_08_25					0	0	GCF_001548455.1	True	True
GCF_000317045.1	{'infraspecific_names': {'strain': 'PCC 7407'}, 'organism_name': 'Geitlerinema sp. PCC 7407', 'tax_id': 1173025}	Complete Genome	1	4681111	1	4681111	4681111	58.5	30.0	GCF_000317045.1-RS_2024_11_05					0	0	GCF_000317045.1	True	True
GCF_001548095.1	{'infraspecific_names': {'strain': 'NIES-3708'}, 'organism_name': 'Geminocystis sp. NIES-3708', 'tax_id': 1615909}	Complete Genome	6	3883409	6	3883409	4042078	32.5	160.0	GCF_001548095.1-RS_2024_11_05					0	0	GCF_001548095.1	True	True
GCF_001548115.1	{'infraspecific_names': {'strain': 'NIES-3709'}, 'organism_name': 'Geminocystis sp. NIES-3709', 'tax_id': 1617448}	Complete Genome	12	4150181	12	4150181	4426059	33.5	81.0	GCF_001548115.1-RS_2024_11_06					0	0	GCF_001548115.1	True	True
GCF_000484535.1	{'infraspecific_names': {'strain': 'JS1'}, 'organism_name': 'Gloeobacter kilaueensis JS1', 'tax_id': 1183438}	Complete Genome	1	4724791	1	4724791	4724791	60.5		GCF_000484535.1-RS_2025_03_29					0	0	GCF_000484535.1	True	True
GCF_021018745.1	{'infraspecific_names': {'isolate': 'MG652769'}, 'organism_name': 'Gloeobacter morelensis MG652769', 'tax_id': 2781736}	Complete Genome	3	4921229	3	4921229	5102396	61.5	422.0	GCF_021018745.1-RS_2025_03_08					0	0	GCF_021018745.1	True	True
GCF_000011385.1	{'infraspecific_names': {'strain': 'PCC 7421'}, 'organism_name': 'Gloeobacter violaceus PCC 7421', 'tax_id': 251221}	Complete Genome	1	4659019	1	4659019	4659019	62.0		GCF_000011385.1-RS_2024_12_11					0	0	GCF_000011385.1	True	True
GCF_000317555.1	{'infraspecific_names': {'strain': 'PCC 7428'}, 'organism_name': 'Gloeocapsa sp. PCC 7428', 'tax_id': 1173026}	Complete Genome	5	5431448	5	5431448	5882710	43.5	30.0	GCF_000317555.1-RS_2024_08_13					0	0	GCF_000317555.1	True	True
GCF_032163395.1	{'infraspecific_names': {'strain': 'AAB1'}, 'organism_name': 'Gloeocapsopsis dulcis', 'tax_id': 2859516}	Complete Genome	3	5299722	3	5299722	5618434	42.5	492.0	GCF_032163395.1-RS_2025_04_07					0	0	GCF_032163395.1	True	True
GCF_000021825.1	{'infraspecific_names': {'strain': 'PCC 7424'}, 'organism_name': 'Gloeothece citriformis PCC 7424', 'tax_id': 65393}	Complete Genome	7	5942652	7	5942652	6554169	38.5		GCF_000021825.1-RS_2025_03_28					0	0	GCF_000021825.1	True	True
GCF_000147335.1	{'infraspecific_names': {'strain': 'PCC 7822'}, 'organism_name': 'Gloeothece verrucosa PCC 7822', 'tax_id': 497965}	Complete Genome	7	6091620	7	6091620	7841948	40.0	30.0	GCF_000147335.1-RS_2025_05_01					0	0	GCF_000147335.1	True	True
GCF_002075285.3	{'infraspecific_names': {'strain': 'C2206'}, 'organism_name': 'Halomicronema hongdechloris C2206', 'tax_id': 1641165}	Complete Genome	1	5577845	1	5577845	5577845	54.5	45.0	GCF_002075285.3-RS_2025_11_20					0	0	GCF_002075285.3	True	True
GCF_002075285.2	{'infraspecific_names': {'strain': 'C2206'}, 'organism_name': 'Halomicronema hongdechloris C2206', 'tax_id': 1641165}	Complete Genome	1	5574084	1	5574084	5574084	54.5	45.0	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)					0	0	GCF_002075285.2	True	True
GCF_000317635.1	{'infraspecific_names': {'strain': 'PCC 7418'}, 'organism_name': 'Halothece sp. PCC 7418', 'tax_id': 65093}	Complete Genome	1	4179170	1	4179170	4179170	43.0	30.0	GCF_000317635.1-RS_2024_11_05					0	0	GCF_000317635.1	True	True
GCF_029953635.1	{'infraspecific_names': {'strain': 'CENA392'}, 'organism_name': 'Halotia branconii CENA392', 'tax_id': 1539056}	Complete Genome	2	6866024	2	6866024	7116433	40.5	172.0	GCF_029953635.1-RS_2025_05_07					0	0	GCF_029953635.1	True	True
GCF_020091585.1	{'infraspecific_names': {'strain': 'CCNU0001'}, 'organism_name': 'Kovacikia minuta CCNUW1', 'tax_id': 2653194}	Complete Genome	3	7298027	3	7298027	8564336	49.5	120.0	GCF_020091585.1-RS_2025_11_20					0	0	GCF_020091585.1	True	True
GCF_021379005.1	{'infraspecific_names': {'strain': 'A121'}, 'organism_name': 'Leptodesmis sichuanensis A121', 'tax_id': 2835870}	Complete Genome	1	5348817	1	5348817	5348817	50.5	343.0	GCF_021379005.1-RS_2025_11_20					0	0	GCF_021379005.1	True	True
GCF_032620035.1	{'infraspecific_names': {'strain': 'CZ1'}, 'organism_name': 'Leptolyngbya boryana CZ1', 'tax_id': 3060204}	Complete Genome	1	6635697	1	6635697	6635697	47.0	6635700.0	GCF_032620035.1-RS_2025_11_21					0	0	GCF_032620035.1	True	True
GCF_002142495.1	{'infraspecific_names': {'strain': 'dg5'}, 'organism_name': 'Leptolyngbya boryana dg5', 'tax_id': 1260963}	Complete Genome	4	6176365	4	6176365	6803469	47.0	24.0	GCF_002142495.1-RS_2025_12_03					0	0	GCF_002142495.1	True	True
