gene_family,importance,direction,effect_size,diaz_rate_present,diaz_rate_absent,n_genomes_with_feature,p_value,interpretation
GF_02059,0.052715337421943724,Positive,0.7036862745098039,0.8823529411764706,0.17866666666666667,51,5.589563780651543e-26,Presence associated with diazotrophy (+70.4%-pts)
GF_01834,0.05169843114625855,Positive,0.6832136566860859,0.7520661157024794,0.06885245901639345,121,1.5631439542229755e-46,Presence associated with diazotrophy (+68.3%-pts)
GF_00608,0.0504201185119804,Positive,0.3486169003410382,0.5714285714285714,0.22281167108753316,49,4.5962242317885247e-07,Presence associated with diazotrophy (+34.9%-pts)
GF_01480,0.0494884868299638,Positive,0.6536585365853658,0.8536585365853658,0.2,41,8.590844357606726e-19,Presence associated with diazotrophy (+65.4%-pts)
GF_01462,0.04877584765947037,Positive,0.7242035003298537,0.863013698630137,0.1388101983002833,73,1.1335740431476794e-36,Presence associated with diazotrophy (+72.4%-pts)
GF_00971,0.04873410180976802,Positive,0.21025280138580632,0.4489795918367347,0.23872679045092837,49,0.0029522211117603736,Presence associated with diazotrophy (+21.0%-pts)
GF_02260,0.04641022217650938,Positive,0.03943661971830986,0.29577464788732394,0.2563380281690141,71,0.5882143856895231,Presence associated with diazotrophy (+3.9%-pts)
GF_00819,0.04621190569029892,Positive,0.1410826210826211,0.28774928774928776,0.14666666666666667,351,0.017555380564597444,Presence associated with diazotrophy (+14.1%-pts)
GF_00957,0.044951951442414324,Positive,0.5164494766075625,0.6290322580645161,0.11258278145695365,124,1.4616580196781355e-27,Presence associated with diazotrophy (+51.6%-pts)
GF_01239,0.0448263620885409,Positive,0.27659411989308896,0.45185185185185184,0.17525773195876287,135,3.309222075369883e-09,Presence associated with diazotrophy (+27.7%-pts)
GF_00931,0.04427318359973449,Negative,-0.5259792166266987,0.2517985611510791,0.7777777777777778,417,0.001557548876405694,Presence associated with non-diazotrophy (-52.6%-pts)
GF_01332,0.04400817938385443,Positive,0.14212947748931973,0.38235294117647056,0.24022346368715083,68,0.021996322791445637,Presence associated with diazotrophy (+14.2%-pts)
GF_01691,0.043768193305417605,Negative,-0.11551762856501238,0.16393442622950818,0.27945205479452057,61,0.0818602089695321,Presence associated with non-diazotrophy (-11.6%-pts)
GF_01337,0.043339548333347,Positive,0.7506898086337339,0.8285714285714286,0.0778816199376947,105,3.975132269192559e-51,Presence associated with diazotrophy (+75.1%-pts)
GF_00661,0.043268013421662574,Positive,0.5853535353535353,0.7575757575757576,0.17222222222222222,66,1.3933517886984292e-22,Presence associated with diazotrophy (+58.5%-pts)
GF_01331,0.0430261623026304,Negative,-0.14306808859721082,0.17391304347826086,0.3169811320754717,161,0.001695555721626862,Presence associated with non-diazotrophy (-14.3%-pts)
GF_01619,0.041096261231101015,Positive,0.1837797619047619,0.42857142857142855,0.24479166666666666,42,0.01711920506654392,Presence associated with diazotrophy (+18.4%-pts)
GF_00866,0.04047739895907171,Positive,0.16658565039860002,0.3716216216216216,0.20503597122302158,148,0.000314094510352419,Presence associated with diazotrophy (+16.7%-pts)
GF_01799,0.04039913549965962,Positive,0.2660332541567696,0.2660332541567696,0.0,421,0.40518069582834504,Presence associated with diazotrophy (+26.6%-pts)
GF_01425,0.04022396761762974,Positive,0.43468559837728193,0.5588235294117647,0.12413793103448276,136,6.407704786700725e-21,Presence associated with diazotrophy (+43.5%-pts)
GF_01734,0.0400386075329489,Negative,-0.11121846484165326,0.1728395061728395,0.28405797101449276,81,0.056647598422559564,Presence associated with non-diazotrophy (-11.1%-pts)
GF_01580,0.03983946322367365,Positive,0.4843244699964067,0.5380434782608695,0.05371900826446281,184,8.274340340062571e-29,Presence associated with diazotrophy (+48.4%-pts)
GF_01232,0.03959390368670838,Negative,-0.09977116704805494,0.17391304347826086,0.2736842105263158,46,0.20249084496324707,Presence associated with non-diazotrophy (-10.0%-pts)
GF_00455,0.03894100064600918,Positive,0.515121640960407,0.6631578947368421,0.14803625377643503,95,3.364062979998052e-23,Presence associated with diazotrophy (+51.5%-pts)
GF_00437,0.038673651614221996,Positive,0.7448556511056511,0.8783783783783784,0.13352272727272727,74,3.976144889782687e-39,Presence associated with diazotrophy (+74.5%-pts)
GF_00300,0.038595101687980526,Positive,0.6904325347921488,0.7864077669902912,0.09597523219814241,103,6.552525751409949e-43,Presence associated with diazotrophy (+69.0%-pts)
GF_00828,0.0382724330369619,Negative,-0.019713609375606345,0.2465753424657534,0.26628895184135976,73,0.8397155826301903,Presence associated with non-diazotrophy (-2.0%-pts)
GF_01930,0.0382251766871967,Positive,0.4668481431071359,0.5675675675675675,0.10071942446043165,148,6.576195971797453e-25,Presence associated with diazotrophy (+46.7%-pts)
GF_00107,0.03776298836467777,Negative,-0.03702350505419558,0.2318840579710145,0.2689075630252101,69,0.6240114042911619,Presence associated with non-diazotrophy (-3.7%-pts)
