gene_family	effect_size_mean	effect_size_median	effect_size_max	n_runs_with_directionality	is_positive_assoc	diazotroph_pct_mean	diazotroph_pct_max	is_pure_any	n_runs_with_purity	is_pure_pos_any	is_pure_neg_any	n_models_with_importance	n_run_model_hits	consensus_rank_pct_mean	consensus_rank_pct_median	best_rank	module_mode	n_runs_with_module	used_in_any_final_set	product	go_ids	locus_tag	n_member_proteins	n_member_genomes	example_proteins	example_genomes	module_bin	fox_status
GF_00241					False	1.0	1.0	True	1	True	False	0	0						False	alpha-amylase family glycosyl hydrolase		NOS7107_RS10620	42	42	GCF_000316625.1;GCF_014023275.1;GCF_028623165.1;GCF_023734775.1;GCF_011769525.1;GCF_052692665.1;GCF_043099725.1;GCF_002949795.1;GCF_013343235.1;GCF_009372195.1	GCF_000316625.1;GCF_014023275.1;GCF_028623165.1;GCF_023734775.1;GCF_011769525.1;GCF_052692665.1;GCF_043099725.1;GCF_002949795.1;GCF_013343235.1;GCF_009372195.1	Other / unassigned	Novel/uncertain candidate
GF_00247					False	1.0	1.0	True	1	True	False	0	0						False	phosphate signaling complex protein PhoU		NOS7107_RS18130	53	53	GCF_000316625.1;GCF_022376295.1;GCF_052692655.1;GCF_029953635.1;GCF_052692665.1;GCF_025860405.1;GCF_013343235.1;GCF_025677855.1;GCF_043099735.1;GCF_002163975.1	GCF_000316625.1;GCF_022376295.1;GCF_052692655.1;GCF_029953635.1;GCF_052692665.1;GCF_025860405.1;GCF_013343235.1;GCF_025677855.1;GCF_043099735.1;GCF_002163975.1	Other / unassigned	Novel/uncertain candidate
GF_00252					False	1.0	1.0	True	1	True	False	0	0						False	P-loop NTPase fold protein		NOS7107_RS22650	43	43	GCF_000316625.1;GCF_052692655.1;GCF_029953635.1;GCF_019977735.1;GCF_003443655.1;GCF_002368175.1;GCF_028623165.1;GCF_013393905.1;GCF_000316645.1;GCF_013393925.1	GCF_000316625.1;GCF_052692655.1;GCF_029953635.1;GCF_019977735.1;GCF_003443655.1;GCF_002368175.1;GCF_028623165.1;GCF_013393905.1;GCF_000316645.1;GCF_013393925.1	Other / unassigned	Novel/uncertain candidate
GF_00254					False	1.0	1.0	True	1	True	False	0	0						False	DUF697 domain-containing protein		NOS7107_RS25275	43	43	GCF_000316625.1;GCF_002813575.1;GCF_000204075.1;GCF_000316575.1;GCF_013393945.1;GCF_000009705.1;GCF_009498015.1;GCF_048568235.1;GCF_025860405.1;GCF_048568275.1	GCF_000316625.1;GCF_002813575.1;GCF_000204075.1;GCF_000316575.1;GCF_013393945.1;GCF_000009705.1;GCF_009498015.1;GCF_048568235.1;GCF_025860405.1;GCF_048568275.1	Stress / membrane / uncharacterized	Novel/uncertain candidate
GF_00257					False	1.0	1.0	True	1	True	False	0	0						False	glycosyltransferase		NOS7107_RS24915	48	48	GCF_000316625.1;GCF_001548375.1;GCF_009873495.1;GCF_052692665.1;GCF_002163975.1;GCF_052692655.1;GCF_003443655.1;GCF_003054475.1;GCF_009372195.1;GCF_043099725.1	GCF_000316625.1;GCF_001548375.1;GCF_009873495.1;GCF_052692665.1;GCF_002163975.1;GCF_052692655.1;GCF_003443655.1;GCF_003054475.1;GCF_009372195.1;GCF_043099725.1	Other / unassigned	Novel/uncertain candidate
GF_00259					False	1.0	1.0	True	1	True	False	0	0						False	GNAT family N-acetyltransferase		NOS7524_RS01875	46	46	GCF_000316645.1;GCF_000009705.1;GCF_000020025.1;GCF_050235535.1;GCF_002896875.1;GCF_000316575.1;GCF_017164015.1;GCF_011769525.1;GCF_002949795.1;GCF_002163975.1	GCF_000316645.1;GCF_000009705.1;GCF_000020025.1;GCF_050235535.1;GCF_002896875.1;GCF_000316575.1;GCF_017164015.1;GCF_011769525.1;GCF_002949795.1;GCF_002163975.1	Other / unassigned	Novel/uncertain candidate
GF_00263					False	1.0	1.0	True	1	True	False	0	0						False	ABC transporter permease		NOS7524_RS04735	57	57	GCF_000316645.1;GCF_009873495.1;GCF_000317695.1;GCF_052692665.1;GCF_009372195.1;GCF_017164015.1;GCF_025860405.1;GCF_000196515.1;GCF_047275885.1;GCF_013393905.1	GCF_000316645.1;GCF_009873495.1;GCF_000317695.1;GCF_052692665.1;GCF_009372195.1;GCF_017164015.1;GCF_025860405.1;GCF_000196515.1;GCF_047275885.1;GCF_013393905.1	Transport	Novel/uncertain candidate
GF_00265					False	1.0	1.0	True	1	True	False	0	0						False	peroxiredoxin		NOS7524_RS06225	41	41	GCF_000316645.1;GCF_049315035.1;GCF_014023275.1;GCF_023734775.1;GCF_011769525.1;GCF_013393905.1;GCF_048568235.1;GCF_050235535.1;GCF_043099725.1;GCF_029953635.1	GCF_000316645.1;GCF_049315035.1;GCF_014023275.1;GCF_023734775.1;GCF_011769525.1;GCF_013393905.1;GCF_048568235.1;GCF_050235535.1;GCF_043099725.1;GCF_029953635.1	O2 protection & redox homeostasis	FOX-consistent support function (plausible rediscovery)
GF_00268					False	1.0	1.0	True	1	True	False	0	0						False	DUF423 domain-containing protein		NOS7524_RS07170	46	46	GCF_000316645.1;GCF_022063185.1;GCF_011769525.1;GCF_009856605.1;GCF_000204075.1;GCF_022376295.1;GCF_003054475.1;GCF_025860405.1;GCF_048568235.1;GCF_000316575.1	GCF_000316645.1;GCF_022063185.1;GCF_011769525.1;GCF_009856605.1;GCF_000204075.1;GCF_022376295.1;GCF_003054475.1;GCF_025860405.1;GCF_048568235.1;GCF_000316575.1	Stress / membrane / uncharacterized	Novel/uncertain candidate
GF_00269					False	1.0	1.0	True	1	True	False	0	0						False	DUF1636 domain-containing protein		NOS7524_RS09005	41	41	GCF_000316645.1;GCF_002896875.1;GCF_050235535.1;GCF_000317695.1;GCF_047275885.1;GCF_000196515.1;GCF_049315035.1;GCF_019056575.1;GCF_022063185.1;GCF_001548375.1	GCF_000316645.1;GCF_002896875.1;GCF_050235535.1;GCF_000317695.1;GCF_047275885.1;GCF_000196515.1;GCF_049315035.1;GCF_019056575.1;GCF_022063185.1;GCF_001548375.1	Stress / membrane / uncharacterized	Novel/uncertain candidate
GF_00270					False	1.0	1.0	True	1	True	False	0	0						False	adenylate/guanylate cyclase domain-containing protein		NOS7524_RS10350	51	51	GCF_000316645.1;GCF_002896875.1;GCF_050235535.1;GCF_022063185.1;GCF_000020025.1;GCF_052692655.1;GCF_025677855.1;GCF_032393985.1;GCF_014023275.1;GCF_029953635.1	GCF_000316645.1;GCF_002896875.1;GCF_050235535.1;GCF_022063185.1;GCF_000020025.1;GCF_052692655.1;GCF_025677855.1;GCF_032393985.1;GCF_014023275.1;GCF_029953635.1	Other / unassigned	Novel/uncertain candidate
GF_00271					False	1.0	1.0	True	1	True	False	0	0						False	cell division protein FtsX		NOS7524_RS10520	45	45	GCF_000316645.1;GCF_000204075.1;GCF_001548375.1;GCF_011769525.1;GCF_023734775.1;GCF_050235535.1;GCF_000317695.1;GCF_048568275.1;GCF_029953635.1;GCF_043099725.1	GCF_000316645.1;GCF_000204075.1;GCF_001548375.1;GCF_011769525.1;GCF_023734775.1;GCF_050235535.1;GCF_000317695.1;GCF_048568275.1;GCF_029953635.1;GCF_043099725.1	Housekeeping / lineage marker	Housekeeping marker (not a transplant candidate)
GF_00273					False	1.0	1.0	True	1	True	False	0	0						False	DNA-processing protein DprA		NOS7524_RS12525	41	41	GCF_000316645.1;GCF_000316625.1;GCF_013393905.1;GCF_002949735.1;GCF_002813575.1;GCF_043099725.1;GCF_009372195.1;GCF_002949795.1;GCF_028623165.1;GCF_013343235.1	GCF_000316645.1;GCF_000316625.1;GCF_013393905.1;GCF_002949735.1;GCF_002813575.1;GCF_043099725.1;GCF_009372195.1;GCF_002949795.1;GCF_028623165.1;GCF_013343235.1	Other / unassigned	Novel/uncertain candidate
GF_00274					False	1.0	1.0	True	1	True	False	0	0						False	HAD family hydrolase		NOS7524_RS12730	41	41	GCF_000316645.1;GCF_022063185.1;GCF_025860405.1;GCF_025677855.1;GCF_002368175.1;GCF_011769525.1;GCF_013393945.1;GCF_000009705.1;GCF_009498015.1;GCF_001548375.1	GCF_000316645.1;GCF_022063185.1;GCF_025860405.1;GCF_025677855.1;GCF_002368175.1;GCF_011769525.1;GCF_013393945.1;GCF_000009705.1;GCF_009498015.1;GCF_001548375.1	Other / unassigned	Novel/uncertain candidate
GF_00278					False	1.0	1.0	True	1	True	False	0	0						False	sulfite reductase%2C ferredoxin dependent		NOS7524_RS19050	48	48	GCF_000316645.1;GCF_014023275.1;GCF_043099305.1;GCF_013343235.1;GCF_028623165.1;GCF_002949795.1;GCF_009873495.1;GCF_043099725.1;GCF_008121535.1;GCF_009372195.1	GCF_000316645.1;GCF_014023275.1;GCF_043099305.1;GCF_013343235.1;GCF_028623165.1;GCF_002949795.1;GCF_009873495.1;GCF_043099725.1;GCF_008121535.1;GCF_009372195.1	O2 protection & redox homeostasis	FOX-consistent support function (plausible rediscovery)
GF_00284					False	1.0	1.0	True	1	True	False	0	0						False	hormogonium tapered terminus morphoprotein TftA		NOS7524_RS27060	47	47	GCF_000316645.1;GCF_013393905.1;GCF_002896875.1;GCF_022376295.1;GCF_025677855.1;GCF_000317695.1;GCF_001548375.1;GCF_009856605.1;GCF_009498015.1;GCF_000204075.1	GCF_000316645.1;GCF_013393905.1;GCF_002896875.1;GCF_022376295.1;GCF_025677855.1;GCF_000317695.1;GCF_001548375.1;GCF_009856605.1;GCF_009498015.1;GCF_000204075.1	Other / unassigned	Novel/uncertain candidate
GF_00285					False	1.0	1.0	True	1	True	False	0	0						False	TIGR04376 family protein		NOS7524_RS27080	47	47	GCF_000316645.1;GCF_002896875.1;GCF_011769525.1;GCF_022376295.1;GCF_050235535.1;GCF_009873495.1;GCF_022063185.1;GCF_048568275.1;GCF_052692665.1;GCF_043099305.1	GCF_000316645.1;GCF_002896875.1;GCF_011769525.1;GCF_022376295.1;GCF_050235535.1;GCF_009873495.1;GCF_022063185.1;GCF_048568275.1;GCF_052692665.1;GCF_043099305.1	Other / unassigned	Novel/uncertain candidate
GF_00286					False	1.0	1.0	True	1	True	False	0	0						False	transaldolase		NOS7524_RS06360	55	55	GCF_000316645.1;GCF_043099315.1;GCF_013393945.1;GCF_050235535.1;GCF_002896875.1;GCF_000317695.1;GCF_009873495.1;GCF_032393985.1;GCF_043099305.1;GCF_002949735.1	GCF_000316645.1;GCF_043099315.1;GCF_013393945.1;GCF_050235535.1;GCF_002896875.1;GCF_000317695.1;GCF_009873495.1;GCF_032393985.1;GCF_043099305.1;GCF_002949735.1	Carbon metabolism & NAD(P)H supply	Novel/uncertain candidate
GF_00288					False	1.0	1.0	True	1	True	False	0	0						False	DUF3038 domain-containing protein		RIV7116_RS00575	55	55	GCF_000316665.1;GCF_049315035.1;GCF_002813575.1;GCF_000009705.1;GCF_002949795.1;GCF_022063185.1;GCF_002368175.1;GCF_013393945.1;GCF_009498015.1;GCF_013393925.1	GCF_000316665.1;GCF_049315035.1;GCF_002813575.1;GCF_000009705.1;GCF_002949795.1;GCF_022063185.1;GCF_002368175.1;GCF_013393945.1;GCF_009498015.1;GCF_013393925.1	Stress / membrane / uncharacterized	Novel/uncertain candidate
