gene_family	effect_size_mean	effect_size_median	effect_size_max	n_runs_with_directionality	is_positive_assoc	diazotroph_pct_mean	diazotroph_pct_max	is_pure_any	n_runs_with_purity	is_pure_pos_any	is_pure_neg_any	n_models_with_importance	n_run_model_hits	consensus_rank_pct_mean	consensus_rank_pct_median	best_rank	module_mode	n_runs_with_module	used_in_any_final_set	product	go_ids	locus_tag	n_member_proteins	n_member_genomes	example_proteins	example_genomes	module_bin	fox_status
GF_00622	0.6647887323943662	0.6647887323943662	0.6647887323943662	1.0	True	0.8169014084507042	0.8169014084507042	False	1	False	False	4	4	0.8943381180223285	0.9385964912280702	5.0			False	amino acid ABC transporter ATP-binding protein		BJP36_RS18580	71	71	GCF_001854205.2;GCF_023546805.1;GCF_001767235.1;GCF_000317125.1;GCF_002075285.3;GCF_032598965.1;GCF_002075285.2;GCF_042465725.1;GCF_022701255.1;GCF_000317475.1	GCF_001854205.2;GCF_023546805.1;GCF_001767235.1;GCF_000317125.1;GCF_002075285.3;GCF_032598965.1;GCF_002075285.2;GCF_042465725.1;GCF_022701255.1;GCF_000317475.1	Transport	Novel/uncertain candidate
GF_00402	0.653225806451613	0.653225806451613	0.653225806451613	1.0	True	0.8333333333333334	0.8333333333333334	False	1	False	False	4	4	0.8927432216905902	0.8883572567783093	10.0			False	glycogen synthase GlgA		MIC7113_RS27055	54	54	GCF_000317515.1;GCF_009498015.1;GCF_048568235.1;GCF_000204075.1;GCF_019976755.1;GCF_043099305.1;GCF_009856605.1;GCF_001548375.1;GCF_000316625.1;GCF_025677855.1	GCF_000317515.1;GCF_009498015.1;GCF_048568235.1;GCF_000204075.1;GCF_019976755.1;GCF_043099305.1;GCF_009856605.1;GCF_001548375.1;GCF_000316625.1;GCF_025677855.1	Carbon metabolism & NAD(P)H supply	Novel/uncertain candidate
GF_01399	0.2974294813466788	0.2974294813466788	0.2974294813466788	1.0	True	0.4821428571428571	0.4821428571428571	False	1	False	False	4	4	0.8831738437001595	0.893939393939394	54.0			False	30S ribosomal protein S1		HRE53_RS20770	112	112	GCF_021497025.1;GCF_024347835.1;GCF_000018105.1;GCF_018336915.1;GCF_003846445.2;GCF_036630085.1;GCF_001548435.1;GCF_036630095.1;GCF_036630115.1;GCF_022984195.1	GCF_021497025.1;GCF_024347835.1;GCF_000018105.1;GCF_018336915.1;GCF_003846445.2;GCF_036630085.1;GCF_001548435.1;GCF_036630095.1;GCF_036630115.1;GCF_022984195.1	Housekeeping / lineage marker	Housekeeping marker (not a transplant candidate)
GF_01543	0.7807790930485792	0.7807790930485792	0.7807790930485792	1.0	True	0.891566265060241	0.891566265060241	False	1	False	False	4	4	0.8767942583732058	0.8995215311004785	6.0			False	photosystem I biogenesis protein BtpA		OOK60_RS03345	83	83	GCF_026240635.1;GCF_048077055.1;GCF_026802175.1;GCF_020091585.1;GCF_032598965.1;GCF_000317495.1;GCF_000317515.1;GCF_022063185.1;GCF_003367075.2;GCF_014489415.1	GCF_026240635.1;GCF_048077055.1;GCF_026802175.1;GCF_020091585.1;GCF_032598965.1;GCF_000317495.1;GCF_000317515.1;GCF_022063185.1;GCF_003367075.2;GCF_014489415.1	Housekeeping / lineage marker	Housekeeping marker (not a transplant candidate)
GF_01637	0.7454285259977739	0.7454285259977739	0.7454285259977739	1.0	True	0.8421052631578947	0.8421052631578947	False	1	False	False	4	4	0.8748006379585327	0.9425837320574162	17.0			False	uroporphyrinogen decarboxylase		P0S91_RS23120	95	95	GCF_032163395.1;GCF_000317555.1;GCF_018336915.1;GCF_000018105.1;GCF_021497025.1;GCF_024347835.1;GCF_000317025.1;GCF_009498015.1;GCF_003367075.2;GCF_000312705.1	GCF_032163395.1;GCF_000317555.1;GCF_018336915.1;GCF_000018105.1;GCF_021497025.1;GCF_024347835.1;GCF_000317025.1;GCF_009498015.1;GCF_003367075.2;GCF_000312705.1	Other / unassigned	Novel/uncertain candidate
GF_01550	0.7962567388871936	0.7962567388871936	0.7962567388871936	1.0	True	0.896551724137931	0.896551724137931	False	1	False	False	4	4	0.8740031897926634	0.9154704944178629	12.0			False	ATP-dependent Clp endopeptidase proteolytic subunit ClpP		OXH18_RS01030	87	87	GCF_026802175.1;GCF_000317515.1;GCF_001548395.1;GCF_013177315.1;GCF_977012465.1;GCF_047276495.1;GCF_000317045.1;GCF_048077055.1;GCF_032705245.1;GCF_016919485.1	GCF_026802175.1;GCF_000317515.1;GCF_001548395.1;GCF_013177315.1;GCF_977012465.1;GCF_047276495.1;GCF_000317045.1;GCF_048077055.1;GCF_032705245.1;GCF_016919485.1	Stress / membrane / uncharacterized	Novel/uncertain candidate
GF_00455	0.515121640960407	0.515121640960407	0.515121640960407	1.0	True	0.6631578947368421	0.6631578947368421	False	1	False	False	4	4	0.8740031897926634	0.9250398724082934	42.0			False	chorismate synthase		ACOWPH_RS19395	95	95	GCF_000317695.1;GCF_001548455.1;GCF_023546805.1;GCF_049315035.1;GCF_002142495.1;GCF_002368255.1;GCF_002142475.1;GCF_022372495.1;GCF_047649235.1;GCF_001548435.1	GCF_000317695.1;GCF_001548455.1;GCF_023546805.1;GCF_049315035.1;GCF_002142495.1;GCF_002368255.1;GCF_002142475.1;GCF_022372495.1;GCF_047649235.1;GCF_001548435.1	Other / unassigned	Novel/uncertain candidate
GF_01426	0.7802453987730061	0.7802453987730061	0.7802453987730061	1.0	True	0.86	0.86	False	1	False	False	4	4	0.8732057416267942	0.9976076555023923	1.0			False	response regulator transcription factor		Q2T42_RS12615	100	100	GCF_022372495.1;GCF_001548435.1;GCF_002142495.1;GCF_032620035.1;GCF_002368255.1;GCF_047649235.1;GCF_002142475.1;GCF_032393985.1;GCF_000317555.1;GCF_001548455.1	GCF_022372495.1;GCF_001548435.1;GCF_002142495.1;GCF_032620035.1;GCF_002368255.1;GCF_047649235.1;GCF_002142475.1;GCF_032393985.1;GCF_000317555.1;GCF_001548455.1	Regulation	Novel/uncertain candidate
GF_00330	0.4933761819989365	0.4933761819989365	0.4933761819989365	1.0	True	0.562874251497006	0.562874251497006	False	1	False	False	4	4	0.8720095693779905	0.8859649122807017	23.0			False	3-deoxy-7-phosphoheptulonate synthase		GEI7407_RS08205	167	167	GCF_000317045.1;GCF_012295525.1;GCF_012516315.1;GCF_002163975.1;GCF_904830925.1;GCF_025200965.1;GCF_026000695.1;GCF_003060805.1;GCF_001548375.1;GCF_000317025.1	GCF_000317045.1;GCF_012295525.1;GCF_012516315.1;GCF_002163975.1;GCF_904830925.1;GCF_025200965.1;GCF_026000695.1;GCF_003060805.1;GCF_001548375.1;GCF_000317025.1	Other / unassigned	Novel/uncertain candidate
GF_01584	0.3742503748125936	0.3742503748125936	0.3742503748125936	1.0	True	0.5862068965517241	0.5862068965517241	False	1	False	False	4	4	0.870414673046252	0.9130781499202552	34.0			False	hypothetical protein		PQG02_RS19860	58	58	GCF_028623165.1;GCF_052692655.1;GCF_040436315.1;GCF_976987195.1;GCF_000009705.1;GCF_011769525.1;GCF_048820285.1;GCF_003967015.1;GCF_050500255.1;GCF_030323025.1	GCF_028623165.1;GCF_052692655.1;GCF_040436315.1;GCF_976987195.1;GCF_000009705.1;GCF_011769525.1;GCF_048820285.1;GCF_003967015.1;GCF_050500255.1;GCF_030323025.1	Stress / membrane / uncharacterized	Novel/uncertain candidate
GF_02260	0.0394366197183098	0.0394366197183098	0.0394366197183098	1.0	True	0.2957746478873239	0.2957746478873239	False	1	False	False	4	4	0.8696172248803827	0.9098883572567783	24.0			False	NIL domain-containing protein		ACLB6K_RS02070	71	71	GCF_976987195.1;GCF_000147335.1;GCF_007904085.1;GCF_021172085.1;GCF_001704955.1;GCF_000010625.1;GCF_026802175.1;GCF_000317025.1;GCF_026222535.1;GCF_000981785.1	GCF_976987195.1;GCF_000147335.1;GCF_007904085.1;GCF_021172085.1;GCF_001704955.1;GCF_000010625.1;GCF_026802175.1;GCF_000317025.1;GCF_026222535.1;GCF_000981785.1	Other / unassigned	Novel/uncertain candidate
GF_00796	0.4906773554314537	0.4906773554314537	0.4906773554314537	1.0	True	0.5439560439560439	0.5439560439560439	False	1	False	False	4	4	0.868421052631579	0.8532695374800638	47.0			False	50S ribosomal protein L11		NLP_RS02205	182	182	GCF_002949795.1;GCF_043099735.1;GCF_001548375.1;GCF_038096175.1;GCF_002163975.1;GCF_043099315.1;GCF_000317435.1;GCF_000014265.1;GCF_043099305.1;GCF_032393985.1	GCF_002949795.1;GCF_043099735.1;GCF_001548375.1;GCF_038096175.1;GCF_002163975.1;GCF_043099315.1;GCF_000317435.1;GCF_000014265.1;GCF_043099305.1;GCF_032393985.1	Housekeeping / lineage marker	Housekeeping marker (not a transplant candidate)
GF_00604	0.6726579520697168	0.6726579520697168	0.6726579520697168	1.0	True	0.7745098039215687	0.7745098039215687	False	1	False	False	4	4	0.865231259968102	0.8748006379585327	45.0			False	30S ribosomal protein S21		BH720_RS23775	102	102	GCF_001746915.2;GCF_000317495.1;GCF_012295525.1;GCF_013393905.1;GCF_009498015.1;GCF_014023275.1;GCF_025860405.1;GCF_002813575.1;GCF_043099725.1;GCF_000317125.1	GCF_001746915.2;GCF_000317495.1;GCF_012295525.1;GCF_013393905.1;GCF_009498015.1;GCF_014023275.1;GCF_025860405.1;GCF_002813575.1;GCF_043099725.1;GCF_000317125.1	Housekeeping / lineage marker	Housekeeping marker (not a transplant candidate)
GF_01580	0.4843244699964067	0.4843244699964067	0.4843244699964067	1.0	True	0.5380434782608695	0.5380434782608695	False	1	False	False	4	4	0.8600478468899522	0.8596491228070176	40.0			False	F0F1 ATP synthase subunit beta		NMG48_RS15545	184	184	GCF_027942295.1;GCF_029910235.1;GCF_051131155.1;GCF_000317085.1;GCF_003967015.1;GCF_030323025.1;GCF_000317065.1;GCF_000011385.1;GCF_000484535.1;GCF_021018745.1	GCF_027942295.1;GCF_029910235.1;GCF_051131155.1;GCF_000317085.1;GCF_003967015.1;GCF_030323025.1;GCF_000317065.1;GCF_000011385.1;GCF_000484535.1;GCF_021018745.1	Housekeeping / lineage marker	Housekeeping marker (not a transplant candidate)
GF_02069	0.5769850402761796	0.5769850402761796	0.5769850402761796	1.0	True	0.6909090909090909	0.6909090909090909	False	1	False	False	4	4	0.8596491228070176	0.8620414673046253	11.0			False	elongation factor G		ACM1PF_RS17685	110	110	GCF_048077055.1;GCF_020091585.1;GCF_032598965.1;GCF_021379005.1;GCF_019891175.1;GCF_032705245.1;GCF_001548395.1;GCF_016919485.1;GCF_013177315.1;GCF_026802175.1	GCF_048077055.1;GCF_020091585.1;GCF_032598965.1;GCF_021379005.1;GCF_019891175.1;GCF_032705245.1;GCF_001548395.1;GCF_016919485.1;GCF_013177315.1;GCF_026802175.1	Other / unassigned	Novel/uncertain candidate
GF_00819	0.1410826210826211	0.1410826210826211	0.1410826210826211	1.0	True	0.2877492877492877	0.2877492877492877	False	1	False	False	4	4	0.8596491228070176	0.8811802232854864	24.0			False	photosystem II chlorophyll-binding protein CP47		BMF81_RS00715	351	351	GCF_003054475.1;GCF_043099735.1;GCF_022376295.1;GCF_023983615.1;GCF_000196515.1;GCF_038050375.1;GCF_013177315.1;GCF_002075285.2;GCF_001318385.1;GCF_038096175.1	GCF_003054475.1;GCF_043099735.1;GCF_022376295.1;GCF_023983615.1;GCF_000196515.1;GCF_038050375.1;GCF_013177315.1;GCF_002075285.2;GCF_001318385.1;GCF_038096175.1	Housekeeping / lineage marker	Housekeeping marker (not a transplant candidate)
GF_00776	0.1237046632124352	0.1237046632124352	0.1237046632124352	1.0	True	0.375	0.375	False	1	False	False	4	4	0.8588516746411483	0.8771929824561404	33.0			False	NAD(P)-dependent oxidoreductase		CLI64_RS01825	40	40	GCF_002896875.1;GCF_050408035.1;GCF_000284135.1;GCF_000317675.1;GCF_018845095.1;GCF_046846445.1;GCF_046847955.1;GCF_000009725.1;GCF_050563455.1;GCF_000478825.2	GCF_002896875.1;GCF_050408035.1;GCF_000284135.1;GCF_000317675.1;GCF_018845095.1;GCF_046846445.1;GCF_046847955.1;GCF_000009725.1;GCF_050563455.1;GCF_000478825.2	Other / unassigned	Novel/uncertain candidate
GF_00082	0.0193617021276595	0.0193617021276595	0.0193617021276595	1.0	True	0.28	0.28	False	1	False	False	4	4	0.8568580542264752	0.9194577352472089	30.0			False	elongation factor P		CCE_RS10065	50	50	GCF_000017845.1;GCF_038630775.1;GCF_002095975.1;GCF_048820285.1;GCF_036345015.1;GCF_002355455.1;GCF_003019735.1;GCF_000981785.1;GCF_000317655.1;GCF_000147335.1	GCF_000017845.1;GCF_038630775.1;GCF_002095975.1;GCF_048820285.1;GCF_036345015.1;GCF_002355455.1;GCF_003019735.1;GCF_000981785.1;GCF_000317655.1;GCF_000147335.1	Other / unassigned	Novel/uncertain candidate
GF_00524	0.5319425696404467	0.5319425696404467	0.5319425696404467	1.0	True	0.6137931034482759	0.6137931034482759	False	1	False	False	4	4	0.8544657097288677	0.8580542264752791	27.0			False	extracellular matrix/biofilm regulator RemA		ETSB_RS01070	145	145	GCF_000829235.1;GCF_002896875.1;GCF_000981785.1;GCF_000316665.1;GCF_001264245.1;GCF_028623165.1;GCF_001693295.1;GCF_001693275.1;GCF_009856605.1;GCF_031754835.1	GCF_000829235.1;GCF_002896875.1;GCF_000981785.1;GCF_000316665.1;GCF_001264245.1;GCF_028623165.1;GCF_001693295.1;GCF_001693275.1;GCF_009856605.1;GCF_031754835.1	Regulation	Novel/uncertain candidate
GF_02222	0.7610521662245799	0.7610521662245799	0.7610521662245799	1.0	True	0.8846153846153846	0.8846153846153846	False	1	False	False	4	4	0.8536682615629985	0.8947368421052632	10.0			False	phosphoglycerate dehydrogenase		NMG85_RS06440	78	78	GCF_904830935.1;GCF_000014265.1;GCF_904830925.1;GCF_904830765.1;GCF_026240635.1;GCF_904830855.1;GCF_904830775.1;GCF_904830845.1;GCF_904830915.1;GCF_009873495.1	GCF_904830935.1;GCF_000014265.1;GCF_904830925.1;GCF_904830765.1;GCF_026240635.1;GCF_904830855.1;GCF_904830775.1;GCF_904830845.1;GCF_904830915.1;GCF_009873495.1	Other / unassigned	FOX-consistent support function (plausible rediscovery)
GF_00982	0.0947806910071061	0.0947806910071061	0.0947806910071061	1.0	True	0.3454545454545454	0.3454545454545454	False	1	False	False	4	4	0.8528708133971292	0.8763955342902712	2.0			False	DUF433 domain-containing protein		FD723_RS18285	55	55	GCF_013393905.1;GCF_019704275.1;GCF_021172085.1;GCF_023983615.1;GCF_000317695.1;GCF_050500235.1;GCF_001277295.1;GCF_020091585.1;GCF_003945305.1;GCF_026222535.1	GCF_013393905.1;GCF_019704275.1;GCF_021172085.1;GCF_023983615.1;GCF_000317695.1;GCF_050500235.1;GCF_001277295.1;GCF_020091585.1;GCF_003945305.1;GCF_026222535.1	Stress / membrane / uncharacterized	Novel/uncertain candidate
GF_00771	0.4855769230769231	0.4855769230769231	0.4855769230769231	1.0	True	0.5	0.5	False	1	False	False	4	4	0.8460925039872409	0.8413078149920254	22.0			False	NYN domain-containing protein		D1367_RS13720	218	218	GCF_002813575.1;GCF_009372195.1;GCF_003443655.1;GCF_030323025.1;GCF_051131155.1;GCF_029910235.1;GCF_003967015.1;GCF_027942295.1;GCF_002949735.1;GCF_028623165.1	GCF_002813575.1;GCF_009372195.1;GCF_003443655.1;GCF_030323025.1;GCF_051131155.1;GCF_029910235.1;GCF_003967015.1;GCF_027942295.1;GCF_002949735.1;GCF_028623165.1	Other / unassigned	Novel/uncertain candidate
GF_00887	0.7729468599033816	0.7729468599033816	0.7729468599033816	1.0	True	0.8888888888888888	0.8888888888888888	False	1	False	False	4	4	0.8405103668261563	0.930622009569378	11.0			False	preQ(1) synthase		FRE64_RS00075	81	81	GCF_007904085.1;GCF_000317615.1;GCF_000317635.1;GCF_008121535.1;GCF_009372195.1;GCF_043099735.1;GCF_009498015.1;GCF_000734895.2;GCF_013393925.1;GCF_013343235.1	GCF_007904085.1;GCF_000317615.1;GCF_000317635.1;GCF_008121535.1;GCF_009372195.1;GCF_043099735.1;GCF_009498015.1;GCF_000734895.2;GCF_013393925.1;GCF_013343235.1	Other / unassigned	Novel/uncertain candidate
GF_00315	0.0014163589458242	0.0014163589458242	0.0014163589458242	1.0	True	0.2641509433962264	0.2641509433962264	False	1	False	False	4	4	0.8361244019138756	0.8819776714513556	15.0			False	GDP-mannose 4%2C6-dehydratase		PLE7327_RS03820	53	53	GCF_000317025.1;GCF_050711215.1;GCF_048820285.1;GCF_009792235.1;GCF_001264245.1;GCF_019704275.1;GCF_041506625.1;GCF_003945305.1;GCF_031754835.1;GCF_002095975.1	GCF_000317025.1;GCF_050711215.1;GCF_048820285.1;GCF_009792235.1;GCF_001264245.1;GCF_019704275.1;GCF_041506625.1;GCF_003945305.1;GCF_031754835.1;GCF_002095975.1	Other / unassigned	Novel/uncertain candidate
GF_00605	0.7329043443470142	0.7329043443470142	0.7329043443470142	1.0	True	0.8426966292134831	0.8426966292134831	False	1	False	False	4	4	0.8341307814992025	0.9401913875598086	5.0			False	Fe-S cluster assembly ATPase SufC		BH720_RS21515	89	89	GCF_001746915.2;GCF_026240635.1;GCF_002949795.1;GCF_047275885.1;GCF_019977735.1;GCF_022376295.1;GCF_023734775.1;GCF_049315035.1;GCF_000317435.1;GCF_002368395.1	GCF_001746915.2;GCF_026240635.1;GCF_002949795.1;GCF_047275885.1;GCF_019977735.1;GCF_022376295.1;GCF_023734775.1;GCF_049315035.1;GCF_000317435.1;GCF_002368395.1	Metallocluster & Fe-S biogenesis	FOX-consistent support function (plausible rediscovery)
GF_02059	0.7036862745098039	0.7036862745098039	0.7036862745098039	1.0	True	0.8823529411764706	0.8823529411764706	False	1	False	False	4	4	0.833732057416268	0.8540669856459331	17.0			False	4Fe-4S dicluster domain-containing protein		Q2T42_RS16445	51	51	GCF_047649235.1;GCF_013393905.1;GCF_047303025.1;GCF_002142475.1;GCF_052692655.1;GCF_014023275.1;GCF_009372195.1;GCF_014489415.1;GCF_002142495.1;GCF_017164015.1	GCF_047649235.1;GCF_013393905.1;GCF_047303025.1;GCF_002142475.1;GCF_052692655.1;GCF_014023275.1;GCF_009372195.1;GCF_014489415.1;GCF_002142495.1;GCF_017164015.1	Metallocluster & Fe-S biogenesis	FOX-consistent support function (plausible rediscovery)
