assembly_accession,nifK_best_ref,nifD_present,nifH_best_ref,nifHDK_core_call,nifH_best_evalue,scaffold_n50,checkm_completeness,coverage,checkm_contamination,nifD_best_ref,nifH_present,download_ok,number_of_scaffolds,derived_from_metagenome,nifK_best_evalue,assembly_level,genome_notes,gc_percent,total_ungapped_length,organism_name,nifK_present,annotation_date,number_of_contigs,contig_n50,annotation_fails_MAG_check,nifD_best_evalue,annotation_name,best_hit_ids
GCF_050235535.1,nifK-local_aln_i2.1_12182023,1,nifH-local_aln_i2.1_12182023,1,1.100e-162,7128814,,3990,,nifD-local_aln_i2.1_12182023,1,1,1,0,6.600e-258,Complete Genome,,41,7128814,"{'infraspecific_names': {'strain': 'HNIBRCY26'}, 'organism_name': 'Aliinostoc sp. HNIBRCY26', 'tax_id': 3418997}",1,,1,7128814,0,6.500e-240,GCF_050235535.1-RS_2025_05_08,H=WP_427160135.1;D=WP_427160136.1;K=WP_427160147.1
GCF_049315035.1,nifK-local_aln_i2.1_12182023,1,nifH-local_aln_i2.1_12182023,1,1.100e-162,6354663,,60,,nifD-local_aln_i2.1_12182023,1,1,8,0,6.700e-249,Complete Genome,,39,7043253,"{'infraspecific_names': {'strain': 'ATCC 29414'}, 'organism_name': 'Anabaena sp. PCC 7938', 'tax_id': 1296340}",1,,8,6354663,0,4.800e-100,GCF_049315035.1-RS_2025_04_07,H=WP_015215476.1;D=WP_015214314.1;K=WP_015214312.1
GCA_965234645.1,,,,0,,7921362,,3381,,,,0,2,0,,Complete Genome,,38.5,7991131,"{'infraspecific_names': {'isolate': '23fe80d2-2bef-4b14-a7c1-d0d5c20622be'}, 'organism_name': 'Rivularia sp. (in: cyanobacteria)', 'tax_id': 2047365}",,,2,7921362,0,,,H=;D=;K=
GCF_049200465.1,nifK-local_aln_i2.1_12182023,1,nifH-local_aln_i2.1_12182023,0,5.100e-52,5554238,,185,,nifD-local_aln_i2.1_12182023,1,1,1,0,3.500e-04,Complete Genome,,50,5554238,"{'infraspecific_names': {'strain': 'ETS-13'}, 'organism_name': 'Leptothermofonsia sp. ETS-13', 'tax_id': 3035696}",0,,1,5554238,0,8.400e-15,GCF_049200465.1-RS_2025_04_02,H=WP_421654553.1;D=WP_421655164.1;K=WP_421655164.1
GCA_003724315.3,nifK-local_aln_i2.1_12182023,0,nifH-local_aln_i2.1_12182023,0,4.800e-52,6467175,,690,,,1,1,2,0,9.800e-03,Complete Genome,,51,6538449,"{'infraspecific_names': {'isolate': 'IPPAS B-1204'}, 'organism_name': 'Leptolyngbya sp. IPPAS B-1204', 'tax_id': 2483801}",0,,2,6467175,0,,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),H=XQQ05880.1;D=;K=XQQ05879.1
GCA_965225665.1,,,,0,,8348946,,68,,,,0,1,0,,Complete Genome,,37.5,8348946,"{'infraspecific_names': {'isolate': 'e4d53434-fe93-44d6-a006-3b8e436d63b4'}, 'organism_name': 'Rivularia sp. (in: cyanobacteria)', 'tax_id': 2047365}",,,1,8348946,0,,,H=;D=;K=
GCA_965226665.1,,,,0,,8625367,,553,,,,0,1,0,,Complete Genome,,38,8625367,"{'infraspecific_names': {'isolate': 'beb1a3fd-4142-4b91-b7aa-4b2fb1984bcf'}, 'organism_name': 'Rivularia sp. (in: cyanobacteria)', 'tax_id': 2047365}",,,1,8625367,0,,,H=;D=;K=
GCF_048820285.1,nifK-local_aln_i2.1_12182023,1,nifH-local_aln_i2.1_12182023,0,5.200e-54,4952830,,30,,nifD-local_aln_i2.1_12182023,1,1,1,0,1.100e-03,Complete Genome,,42.5,4952830,"{'infraspecific_names': {'strain': 'NIES-298'}, 'organism_name': 'Microcystis aeruginosa NIES-298', 'tax_id': 449468}",0,,1,4952830,0,1.400e-09,GCF_048820285.1-RS_2025_03_24,H=WP_002735653.1;D=WP_002770669.1;K=WP_002770669.1
GCA_965218645.1,,,,0,,5305086,,143,,,,0,1,0,,Complete Genome,,39,5305086,"{'infraspecific_names': {'isolate': '931cca96-b6c3-400e-9fe1-dcb443d0ee94'}, 'organism_name': 'Waterburya sp.', 'tax_id': 3069706}",,,1,5305086,0,,,H=;D=;K=
GCA_041937175.2,nifK-local_aln_i2.1_12182023,1,nifH-local_aln_i2.1_12182023,0,1.700e-51,4539749,,51,,nifD-local_aln_i2.1_12182023,1,1,2,0,5.400e-05,Complete Genome,,55,4555668,"{'infraspecific_names': {'isolate': 'BL-A-16'}, 'organism_name': 'Limnothrix sp. BL-A-16', 'tax_id': 3104318}",0,,2,4539749,0,2.400e-12,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),H=XGV87555.1;D=XGV86687.1;K=XGV86687.1
GCF_048593405.1,nifK-local_aln_i2.1_12182023,1,nifH-local_aln_i2.1_12182023,0,8.300e-54,4933804,,196,,nifD-local_aln_i2.1_12182023,1,1,5,0,1.400e-03,Complete Genome,,42.5,5074437,"{'infraspecific_names': {'strain': 'FACHB-524'}, 'organism_name': 'Microcystis aeruginosa FACHB-524', 'tax_id': 2486203}",0,,5,4933804,0,1.000e-09,GCF_048593405.1-RS_2025_03_18,H=WP_002773281.1;D=WP_002776776.1;K=WP_002776776.1
GCF_048568275.1,nifK-local_aln_i2.1_12182023,1,nifH-local_aln_i2.1_12182023,1,1.100e-162,6411132,,432,,nifD-local_aln_i2.1_12182023,1,1,6,0,1.300e-256,Complete Genome,,41.5,7177355,"{'infraspecific_names': {'strain': 'FACHB-595'}, 'organism_name': 'Anabaena sp. FACHB-595', 'tax_id': 3403436}",1,,6,6411132,0,1.200e-239,GCF_048568275.1-RS_2025_03_14,H=WP_010995626.1;D=WP_044520961.1;K=WP_010995612.1
GCF_048568235.1,nifK-local_aln_i2.1_12182023,1,nifH-local_aln_i2.1_12182023,1,1.100e-162,6412411,,1345,,nifD-local_aln_i2.1_12182023,1,1,7,0,1.300e-256,Complete Genome,,41.5,7214617,"{'infraspecific_names': {'strain': 'FACHB-709'}, 'organism_name': 'Anabaena sp. FACHB-709', 'tax_id': 1086822}",1,,7,6412411,0,1.200e-239,GCF_048568235.1-RS_2025_03_14,H=WP_010995626.1;D=WP_044520961.1;K=WP_010995612.1
GCA_965198675.1,,,,0,,4740233,,307,,,,0,1,0,,Complete Genome,,44.5,4740233,"{'infraspecific_names': {'isolate': 'dac035e6-ce62-414d-a23f-31881e3e1573'}, 'organism_name': 'Prochloron sp.', 'tax_id': 1215}",,,1,4740233,0,,,H=;D=;K=
GCA_001746915.2,,,,0,,6134424,,83,,,,0,2,0,,Complete Genome,,48.5,6144657,"{'infraspecific_names': {'strain': 'IPPAS B-1220'}, 'organism_name': 'Desertifilum tharense IPPAS B-1220', 'tax_id': 1781255}",,,2,6134424,0,,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),H=;D=;K=
GCA_003724315.2,,0,nifH-local_aln_i2.1_12182023,0,3.300e-04,6448700,,690,,,0,1,2,0,,Complete Genome,,51,6519914,"{'infraspecific_names': {'isolate': 'IPPAS B-1204'}, 'organism_name': 'Leptolyngbya sp. IPPAS B-1204', 'tax_id': 2483801}",0,,2,6448700,0,,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),H=XPM52543.1;D=;K=
GCF_001747005.2,nifK-local_aln_i2.1_12182023,1,nifH-local_aln_i2.1_12182023,1,2.500e-52,3122734,,70,,nifD-local_aln_i2.1_12182023,1,1,10,0,1.700e-06,Complete Genome,,37.5,3476869,"{'infraspecific_names': {'strain': 'IPPAS B-1200'}, 'organism_name': 'Cyanobacterium sp. IPPAS B-1200', 'tax_id': 1562720}",1,,10,3122734,0,8.900e-13,GCF_001747005.2-RS_2025_09_29,H=WP_069791342.1;D=WP_069791752.1;K=WP_069791752.1
GCF_048077055.1,nifK-local_aln_i2.1_12182023,1,nifH-local_aln_i2.1_12182023,1,7.600e-164,7506658,,200,,nifD-local_aln_i2.1_12182023,1,1,1,0,4.200e-240,Complete Genome,,50.5,7506658,"{'infraspecific_names': {'strain': 'FJBBOT/2019'}, 'organism_name': 'Egbenema bharatensis FJBBOT/2019', 'tax_id': 3398834}",1,,1,7506658,0,4.000e-253,GCF_048077055.1-RS_2025_02_27,H=WP_416669576.1;D=WP_416669578.1;K=WP_416669580.1
GCF_047947085.1,nifK-local_aln_i2.1_12182023,1,nifH-local_aln_i2.1_12182023,1,3.100e-54,1743611,,20,,nifD-local_aln_i2.1_12182023,1,1,1,0,4.400e-08,Complete Genome,,31,1743611,"{'infraspecific_names': {'strain': 'MIT 9302'}, 'organism_name': 'Prochlorococcus marinus str. MIT 9302', 'tax_id': 74545}",1,,1,1743611,0,5.200e-11,GCF_047947085.1-RS_2025_02_25,H=WP_002805445.1;D=WP_032526846.1;K=WP_032526846.1
GCF_047716815.1,,0,nifH-local_aln_i2.1_12182023,0,1.400e-53,2623530,,635,,,1,1,1,0,,Complete Genome,,57.5,2623530,"{'infraspecific_names': {'strain': 'W2B2'}, 'organism_name': 'Synechococcus sp. W2B2', 'tax_id': 3392296}",0,,1,2623530,0,,GCF_047716815.1-RS_2025_02_13,H=WP_006043641.1;D=;K=
GCF_047716805.1,nifK-local_aln_i2.1_12182023,0,nifH-local_aln_i2.1_12182023,0,2.600e-52,2369322,,2396,,nifD-local_aln_i2.1_12182023,1,1,1,0,2.300e-03,Complete Genome,,62,2369322,"{'infraspecific_names': {'strain': 'W4D4'}, 'organism_name': 'Synechococcus sp. W4D4', 'tax_id': 3392294}",0,,1,2369322,0,9.000e-03,GCF_047716805.1-RS_2025_02_13,H=WP_247910736.1;D=WP_415398561.1;K=WP_415398561.1
GCF_047716785.1,nifK-local_aln_i2.1_12182023,0,nifH-local_aln_i2.1_12182023,0,1.400e-53,2660754,,3008,,nifD-local_aln_i2.1_12182023,1,1,1,0,1.800e-05,Complete Genome,,57.5,2660754,"{'infraspecific_names': {'strain': 'A10-1-5-9'}, 'organism_name': 'Synechococcus sp. A10-1-5-9', 'tax_id': 3392295}",0,,1,2660754,0,1.800e-05,GCF_047716785.1-RS_2025_02_13,H=WP_006043641.1;D=WP_415409879.1;K=WP_415409879.1
GCF_047649235.1,nifK-local_aln_i2.1_12182023,1,nifH-local_aln_i2.1_12182023,1,1.100e-161,6500472,,191,,nifD-local_aln_i2.1_12182023,1,1,1,0,3.400e-246,Complete Genome,,47,6500472,"{'infraspecific_names': {'strain': 'FACHB-1624'}, 'organism_name': 'Leptolyngbya sp. FACHB-1624', 'tax_id': 2692802}",1,,1,6500472,0,2.200e-254,GCF_047649235.1-RS_2025_02_12,H=WP_190653244.1;D=WP_190653245.1;K=WP_190653246.1
GCF_047497135.1,nifK-local_aln_i2.1_12182023,1,nifH-local_aln_i2.1_12182023,1,6.800e-53,3137804,,16,,nifD-local_aln_i2.1_12182023,1,1,1,0,1.100e-06,Complete Genome,,55.5,3137804,"{'infraspecific_names': {'strain': 'MIT S9504'}, 'organism_name': 'Synechococcus sp. MIT S9504', 'tax_id': 1801628}",1,,1,3137804,0,4.600e-06,GCF_047497135.1-RS_2025_02_07,H=WP_066905758.1;D=WP_066905756.1;K=WP_066905756.1
GCF_047497125.1,nifK-local_aln_i2.1_12182023,1,nifH-local_aln_i2.1_12182023,1,3.800e-54,1659596,,32,,nifD-local_aln_i2.1_12182023,1,1,1,0,2.600e-08,Complete Genome,,31,1659596,"{'infraspecific_names': {'strain': 'MED4ax substr. MED4ax'}, 'organism_name': 'Prochlorococcus marinus subsp. pastoris str. CCMP1986', 'tax_id': 59919}",1,,1,1659596,0,9.100e-10,GCF_047497125.1-RS_2025_02_07,H=WP_011132178.1;D=WP_011132179.1;K=WP_011132179.1
GCF_047497115.1,nifK-local_aln_i2.1_12182023,1,nifH-local_aln_i2.1_12182023,1,3.800e-54,1659597,,44,,nifD-local_aln_i2.1_12182023,1,1,1,0,2.600e-08,Complete Genome,,31,1659597,"{'infraspecific_names': {'strain': 'MED4x substr. MED4x'}, 'organism_name': 'Prochlorococcus marinus subsp. pastoris str. CCMP1986', 'tax_id': 59919}",1,,1,1659597,0,9.100e-10,GCF_047497115.1-RS_2025_02_07,H=WP_011132178.1;D=WP_011132179.1;K=WP_011132179.1
GCF_047305235.1,nifK-local_aln_i2.1_12182023,1,nifH-local_aln_i2.1_12182023,1,1.000e-53,1937723,,253,,nifD-local_aln_i2.1_12182023,1,1,1,0,1.400e-10,Complete Genome,,34.5,1937723,"{'infraspecific_names': {'strain': 'MIT 1011'}, 'organism_name': 'Prochlorococcus sp. MIT 1011', 'tax_id': 3082520}",1,,1,1937723,0,4.300e-10,GCF_047305235.1-RS_2025_01_31,H=WP_413390057.1;D=WP_413682747.1;K=WP_413682747.1
GCF_047305225.1,nifK-local_aln_i2.1_12182023,1,nifH-local_aln_i2.1_12182023,1,1.700e-53,1674013,,435,,nifD-local_aln_i2.1_12182023,1,1,1,0,2.200e-09,Complete Genome,,31.5,1674013,"{'infraspecific_names': {'strain': 'SB'}, 'organism_name': 'Prochlorococcus marinus str. SB', 'tax_id': 59926}",1,,1,1674013,0,1.800e-11,GCF_047305225.1-RS_2025_01_31,H=WP_032519374.1;D=WP_032519371.1;K=WP_032519371.1
GCF_047305155.1,nifK-local_aln_i2.1_12182023,1,nifH-local_aln_i2.1_12182023,1,5.400e-55,1944257,,388,,nifD-local_aln_i2.1_12182023,1,1,1,0,1.200e-09,Complete Genome,,34.5,1944257,"{'infraspecific_names': {'strain': 'MIT 0916'}, 'organism_name': 'Prochlorococcus sp. MIT 0916', 'tax_id': 3082521}",1,,1,1944257,0,1.600e-11,GCF_047305155.1-RS_2025_01_31,H=WP_413677514.1;D=WP_413677516.1;K=WP_413677516.1
