assembly_accession,nifK_best_ref,nifD_present,nifH_best_ref,nifHDK_core_call,nifH_best_evalue,scaffold_n50,checkm_completeness,coverage,checkm_contamination,nifD_best_ref,nifH_present,download_ok,number_of_scaffolds,derived_from_metagenome,nifK_best_evalue,assembly_level,genome_notes,gc_percent,total_ungapped_length,organism_name,nifK_present,annotation_date,number_of_contigs,contig_n50,annotation_fails_MAG_check,nifD_best_evalue,annotation_name,best_hit_ids,organism_full,genus,is_diazotroph
GCF_050711215.1,nifK-local_aln_i2.1_12182023,1.0,nifH-local_aln_i2.1_12182023,0,8.5e-54,5868208,,72.0,,nifD-local_aln_i2.1_12182023,1.0,1,1,0,0.00078,Complete Genome,,42.5,5868208,"{'infraspecific_names': {'strain': 'FBCC-A68'}, 'organism_name': 'Microcystis aeruginosa FBCC-A68', 'tax_id': 3079052}",0.0,,1,5868208,0,7.5e-10,GCF_050711215.1-RS_2025_06_04,H=WP_002759152.1;D=WP_061430879.1;K=WP_061430879.1,Microcystis aeruginosa FBCC-A68,Microcystis,False
GCF_050563455.1,nifK-local_aln_i2.1_12182023,1.0,nifH-local_aln_i2.1_12182023,1,4.7e-155,6132292,,91.0,,nifD-local_aln_i2.1_12182023,1.0,1,4,0,2.2e-239,Complete Genome,,37.0,6283531,"{'infraspecific_names': {'strain': 'WH 8501'}, 'organism_name': 'Crocosphaera watsonii WH 8501', 'tax_id': 165597}",1.0,,4,6132292,0,1.8e-255,GCF_050563455.1-RS_2025_05_26,H=WP_007305800.1;D=WP_007305801.1;K=WP_007305802.1,Crocosphaera watsonii WH 8501,Crocosphaera,True
GCF_050500255.1,nifK-local_aln_i2.1_12182023,1.0,nifH-local_aln_i2.1_12182023,0,8.5e-54,5864213,,,,nifD-local_aln_i2.1_12182023,1.0,1,1,0,0.00078,Complete Genome,,42.5,5864213,"{'infraspecific_names': {'strain': 'FBCC-A68'}, 'organism_name': 'Microcystis aeruginosa FBCC-A68', 'tax_id': 3079052}",0.0,,1,5864213,0,7.5e-10,GCF_050500255.1-RS_2025_05_21,H=WP_002759152.1;D=WP_061430879.1;K=WP_061430879.1,Microcystis aeruginosa FBCC-A68,Microcystis,False
GCF_050500245.1,nifK-local_aln_i2.1_12182023,1.0,nifH-local_aln_i2.1_12182023,0,8.3e-53,4916250,,,,nifD-local_aln_i2.1_12182023,1.0,1,1,0,0.0014,Complete Genome,,42.5,4916250,"{'infraspecific_names': {'strain': 'FBCC-A1114'}, 'organism_name': 'Microcystis ichthyoblabe FBCC-A1114', 'tax_id': 3422495}",0.0,,1,4916250,0,1.2e-09,GCF_050500245.1-RS_2025_05_21,H=WP_430013300.1;D=WP_430014318.1;K=WP_430014318.1,Microcystis ichthyoblabe FBCC-A1114,Microcystis,False
GCF_050500235.1,nifK-local_aln_i2.1_12182023,1.0,nifH-local_aln_i2.1_12182023,0,5.1999999999999995e-54,4917921,,,,nifD-local_aln_i2.1_12182023,1.0,1,1,0,0.0014,Complete Genome,,42.5,4917921,"{'infraspecific_names': {'strain': 'FBCC-A270'}, 'organism_name': 'Microcystis protocystis FBCC-A270', 'tax_id': 3422496}",0.0,,1,4917921,0,1.2e-09,GCF_050500235.1-RS_2025_05_21,H=WP_002735653.1;D=WP_430014318.1;K=WP_430014318.1,Microcystis protocystis FBCC-A270,Microcystis,False
GCF_050422935.1,nifK-local_aln_i2.1_12182023,1.0,nifH-local_aln_i2.1_12182023,1,2.5e-51,2717027,,120.0,,nifD-local_aln_i2.1_12182023,1.0,1,1,0,7.7e-07,Complete Genome,,55.0,2717027,"{'infraspecific_names': {'strain': 'M14.2'}, 'organism_name': 'Synechococcus elongatus M14.2', 'tax_id': 3242107}",1.0,,1,2717027,0,1.5e-12,GCF_050422935.1-RS_2025_05_20,H=WP_208673436.1;D=WP_208673277.1;K=WP_208673277.1,Synechococcus elongatus M14.2,Synechococcus,False
GCF_050408035.1,nifK-local_aln_i2.1_12182023,1.0,nifH-local_aln_i2.1_12182023,0,1.2e-52,3573470,,100.0,,nifD-local_aln_i2.1_12182023,1.0,1,5,0,7.2e-05,Complete Genome,,47.5,3947019,"{'infraspecific_names': {'strain': 'PCC 6803'}, 'organism_name': 'Synechocystis sp. PCC 6803', 'tax_id': 1148}",0.0,,5,3573470,0,1e-11,GCF_050408035.1-RS_2025_05_18,H=WP_041426077.1;D=WP_010873342.1;K=WP_010873342.1,Synechocystis sp. PCC 6803,Synechocystis,False
GCF_050235535.1,nifK-local_aln_i2.1_12182023,1.0,nifH-local_aln_i2.1_12182023,1,1.1e-162,7128814,,3990.0,,nifD-local_aln_i2.1_12182023,1.0,1,1,0,6.600000000000001e-258,Complete Genome,,41.0,7128814,"{'infraspecific_names': {'strain': 'HNIBRCY26'}, 'organism_name': 'Aliinostoc sp. HNIBRCY26', 'tax_id': 3418997}",1.0,,1,7128814,0,6.499999999999999e-240,GCF_050235535.1-RS_2025_05_08,H=WP_427160135.1;D=WP_427160136.1;K=WP_427160147.1,Aliinostoc sp. HNIBRCY26,Aliinostoc,True
GCF_049315035.1,nifK-local_aln_i2.1_12182023,1.0,nifH-local_aln_i2.1_12182023,1,1.1e-162,6354663,,60.0,,nifD-local_aln_i2.1_12182023,1.0,1,8,0,6.700000000000001e-249,Complete Genome,,39.0,7043253,"{'infraspecific_names': {'strain': 'ATCC 29414'}, 'organism_name': 'Anabaena sp. PCC 7938', 'tax_id': 1296340}",1.0,,8,6354663,0,4.799999999999998e-100,GCF_049315035.1-RS_2025_04_07,H=WP_015215476.1;D=WP_015214314.1;K=WP_015214312.1,Anabaena sp. PCC 7938,Anabaena,True
GCF_049200465.1,nifK-local_aln_i2.1_12182023,1.0,nifH-local_aln_i2.1_12182023,0,5.1e-52,5554238,,185.0,,nifD-local_aln_i2.1_12182023,1.0,1,1,0,0.00035,Complete Genome,,50.0,5554238,"{'infraspecific_names': {'strain': 'ETS-13'}, 'organism_name': 'Leptothermofonsia sp. ETS-13', 'tax_id': 3035696}",0.0,,1,5554238,0,8.4e-15,GCF_049200465.1-RS_2025_04_02,H=WP_421654553.1;D=WP_421655164.1;K=WP_421655164.1,Leptothermofonsia sp. ETS-13,Leptothermofonsia,False
GCF_048820285.1,nifK-local_aln_i2.1_12182023,1.0,nifH-local_aln_i2.1_12182023,0,5.1999999999999995e-54,4952830,,30.0,,nifD-local_aln_i2.1_12182023,1.0,1,1,0,0.0011,Complete Genome,,42.5,4952830,"{'infraspecific_names': {'strain': 'NIES-298'}, 'organism_name': 'Microcystis aeruginosa NIES-298', 'tax_id': 449468}",0.0,,1,4952830,0,1.4e-09,GCF_048820285.1-RS_2025_03_24,H=WP_002735653.1;D=WP_002770669.1;K=WP_002770669.1,Microcystis aeruginosa NIES-298,Microcystis,False
GCF_048593405.1,nifK-local_aln_i2.1_12182023,1.0,nifH-local_aln_i2.1_12182023,0,8.3e-54,4933804,,196.0,,nifD-local_aln_i2.1_12182023,1.0,1,5,0,0.0014,Complete Genome,,42.5,5074437,"{'infraspecific_names': {'strain': 'FACHB-524'}, 'organism_name': 'Microcystis aeruginosa FACHB-524', 'tax_id': 2486203}",0.0,,5,4933804,0,1e-09,GCF_048593405.1-RS_2025_03_18,H=WP_002773281.1;D=WP_002776776.1;K=WP_002776776.1,Microcystis aeruginosa FACHB-524,Microcystis,False
GCF_048568275.1,nifK-local_aln_i2.1_12182023,1.0,nifH-local_aln_i2.1_12182023,1,1.1e-162,6411132,,432.0,,nifD-local_aln_i2.1_12182023,1.0,1,6,0,1.2999999999999999e-256,Complete Genome,,41.5,7177355,"{'infraspecific_names': {'strain': 'FACHB-595'}, 'organism_name': 'Anabaena sp. FACHB-595', 'tax_id': 3403436}",1.0,,6,6411132,0,1.2e-239,GCF_048568275.1-RS_2025_03_14,H=WP_010995626.1;D=WP_044520961.1;K=WP_010995612.1,Anabaena sp. FACHB-595,Anabaena,True
GCF_048568235.1,nifK-local_aln_i2.1_12182023,1.0,nifH-local_aln_i2.1_12182023,1,1.1e-162,6412411,,1345.0,,nifD-local_aln_i2.1_12182023,1.0,1,7,0,1.2999999999999999e-256,Complete Genome,,41.5,7214617,"{'infraspecific_names': {'strain': 'FACHB-709'}, 'organism_name': 'Anabaena sp. FACHB-709', 'tax_id': 1086822}",1.0,,7,6412411,0,1.2e-239,GCF_048568235.1-RS_2025_03_14,H=WP_010995626.1;D=WP_044520961.1;K=WP_010995612.1,Anabaena sp. FACHB-709,Anabaena,True
GCF_001747005.2,nifK-local_aln_i2.1_12182023,1.0,nifH-local_aln_i2.1_12182023,1,2.5e-52,3122734,,70.0,,nifD-local_aln_i2.1_12182023,1.0,1,10,0,1.7e-06,Complete Genome,,37.5,3476869,"{'infraspecific_names': {'strain': 'IPPAS B-1200'}, 'organism_name': 'Cyanobacterium sp. IPPAS B-1200', 'tax_id': 1562720}",1.0,,10,3122734,0,8.9e-13,GCF_001747005.2-RS_2025_09_29,H=WP_069791342.1;D=WP_069791752.1;K=WP_069791752.1,Cyanobacterium sp. IPPAS B-1200,Cyanobacterium,False
GCF_048077055.1,nifK-local_aln_i2.1_12182023,1.0,nifH-local_aln_i2.1_12182023,1,7.600000000000001e-164,7506658,,200.0,,nifD-local_aln_i2.1_12182023,1.0,1,1,0,4.2e-240,Complete Genome,,50.5,7506658,"{'infraspecific_names': {'strain': 'FJBBOT/2019'}, 'organism_name': 'Egbenema bharatensis FJBBOT/2019', 'tax_id': 3398834}",1.0,,1,7506658,0,3.9999999999999996e-253,GCF_048077055.1-RS_2025_02_27,H=WP_416669576.1;D=WP_416669578.1;K=WP_416669580.1,Egbenema bharatensis FJBBOT/2019,Egbenema,True
GCF_047947085.1,nifK-local_aln_i2.1_12182023,1.0,nifH-local_aln_i2.1_12182023,1,3.1e-54,1743611,,20.0,,nifD-local_aln_i2.1_12182023,1.0,1,1,0,4.4e-08,Complete Genome,,31.0,1743611,"{'infraspecific_names': {'strain': 'MIT 9302'}, 'organism_name': 'Prochlorococcus marinus str. MIT 9302', 'tax_id': 74545}",1.0,,1,1743611,0,5.2e-11,GCF_047947085.1-RS_2025_02_25,H=WP_002805445.1;D=WP_032526846.1;K=WP_032526846.1,Prochlorococcus marinus str. MIT 9302,Prochlorococcus,False
GCF_047716815.1,,0.0,nifH-local_aln_i2.1_12182023,0,1.4e-53,2623530,,635.0,,,1.0,1,1,0,,Complete Genome,,57.5,2623530,"{'infraspecific_names': {'strain': 'W2B2'}, 'organism_name': 'Synechococcus sp. W2B2', 'tax_id': 3392296}",0.0,,1,2623530,0,,GCF_047716815.1-RS_2025_02_13,H=WP_006043641.1;D=;K=,Synechococcus sp. W2B2,Synechococcus,False
GCF_047716805.1,nifK-local_aln_i2.1_12182023,0.0,nifH-local_aln_i2.1_12182023,0,2.6e-52,2369322,,2396.0,,nifD-local_aln_i2.1_12182023,1.0,1,1,0,0.0023,Complete Genome,,62.0,2369322,"{'infraspecific_names': {'strain': 'W4D4'}, 'organism_name': 'Synechococcus sp. W4D4', 'tax_id': 3392294}",0.0,,1,2369322,0,0.009,GCF_047716805.1-RS_2025_02_13,H=WP_247910736.1;D=WP_415398561.1;K=WP_415398561.1,Synechococcus sp. W4D4,Synechococcus,False
GCF_047716785.1,nifK-local_aln_i2.1_12182023,0.0,nifH-local_aln_i2.1_12182023,0,1.4e-53,2660754,,3008.0,,nifD-local_aln_i2.1_12182023,1.0,1,1,0,1.8e-05,Complete Genome,,57.5,2660754,"{'infraspecific_names': {'strain': 'A10-1-5-9'}, 'organism_name': 'Synechococcus sp. A10-1-5-9', 'tax_id': 3392295}",0.0,,1,2660754,0,1.8e-05,GCF_047716785.1-RS_2025_02_13,H=WP_006043641.1;D=WP_415409879.1;K=WP_415409879.1,Synechococcus sp. A10-1-5-9,Synechococcus,False
GCF_047649235.1,nifK-local_aln_i2.1_12182023,1.0,nifH-local_aln_i2.1_12182023,1,1.1e-161,6500472,,191.0,,nifD-local_aln_i2.1_12182023,1.0,1,1,0,3.4e-246,Complete Genome,,47.0,6500472,"{'infraspecific_names': {'strain': 'FACHB-1624'}, 'organism_name': 'Leptolyngbya sp. FACHB-1624', 'tax_id': 2692802}",1.0,,1,6500472,0,2.2e-254,GCF_047649235.1-RS_2025_02_12,H=WP_190653244.1;D=WP_190653245.1;K=WP_190653246.1,Leptolyngbya sp. FACHB-1624,Leptolyngbya,True
GCF_047497135.1,nifK-local_aln_i2.1_12182023,1.0,nifH-local_aln_i2.1_12182023,1,6.799999999999999e-53,3137804,,16.0,,nifD-local_aln_i2.1_12182023,1.0,1,1,0,1.1e-06,Complete Genome,,55.5,3137804,"{'infraspecific_names': {'strain': 'MIT S9504'}, 'organism_name': 'Synechococcus sp. MIT S9504', 'tax_id': 1801628}",1.0,,1,3137804,0,4.6e-06,GCF_047497135.1-RS_2025_02_07,H=WP_066905758.1;D=WP_066905756.1;K=WP_066905756.1,Synechococcus sp. MIT S9504,Synechococcus,False
GCF_047497125.1,nifK-local_aln_i2.1_12182023,1.0,nifH-local_aln_i2.1_12182023,1,3.7999999999999997e-54,1659596,,32.0,,nifD-local_aln_i2.1_12182023,1.0,1,1,0,2.6e-08,Complete Genome,,31.0,1659596,"{'infraspecific_names': {'strain': 'MED4ax substr. MED4ax'}, 'organism_name': 'Prochlorococcus marinus subsp. pastoris str. CCMP1986', 'tax_id': 59919}",1.0,,1,1659596,0,9.1e-10,GCF_047497125.1-RS_2025_02_07,H=WP_011132178.1;D=WP_011132179.1;K=WP_011132179.1,Prochlorococcus marinus subsp. pastoris str. CCMP1986,Prochlorococcus,False
GCF_047497115.1,nifK-local_aln_i2.1_12182023,1.0,nifH-local_aln_i2.1_12182023,1,3.7999999999999997e-54,1659597,,44.0,,nifD-local_aln_i2.1_12182023,1.0,1,1,0,2.6e-08,Complete Genome,,31.0,1659597,"{'infraspecific_names': {'strain': 'MED4x substr. MED4x'}, 'organism_name': 'Prochlorococcus marinus subsp. pastoris str. CCMP1986', 'tax_id': 59919}",1.0,,1,1659597,0,9.1e-10,GCF_047497115.1-RS_2025_02_07,H=WP_011132178.1;D=WP_011132179.1;K=WP_011132179.1,Prochlorococcus marinus subsp. pastoris str. CCMP1986,Prochlorococcus,False
GCF_047305235.1,nifK-local_aln_i2.1_12182023,1.0,nifH-local_aln_i2.1_12182023,1,9.999999999999999e-54,1937723,,253.0,,nifD-local_aln_i2.1_12182023,1.0,1,1,0,1.4e-10,Complete Genome,,34.5,1937723,"{'infraspecific_names': {'strain': 'MIT 1011'}, 'organism_name': 'Prochlorococcus sp. MIT 1011', 'tax_id': 3082520}",1.0,,1,1937723,0,4.3e-10,GCF_047305235.1-RS_2025_01_31,H=WP_413390057.1;D=WP_413682747.1;K=WP_413682747.1,Prochlorococcus sp. MIT 1011,Prochlorococcus,False
GCF_047305225.1,nifK-local_aln_i2.1_12182023,1.0,nifH-local_aln_i2.1_12182023,1,1.6999999999999998e-53,1674013,,435.0,,nifD-local_aln_i2.1_12182023,1.0,1,1,0,2.2e-09,Complete Genome,,31.5,1674013,"{'infraspecific_names': {'strain': 'SB'}, 'organism_name': 'Prochlorococcus marinus str. SB', 'tax_id': 59926}",1.0,,1,1674013,0,1.8e-11,GCF_047305225.1-RS_2025_01_31,H=WP_032519374.1;D=WP_032519371.1;K=WP_032519371.1,Prochlorococcus marinus str. SB,Prochlorococcus,False
GCF_047305155.1,nifK-local_aln_i2.1_12182023,1.0,nifH-local_aln_i2.1_12182023,1,5.399999999999999e-55,1944257,,388.0,,nifD-local_aln_i2.1_12182023,1.0,1,1,0,1.2e-09,Complete Genome,,34.5,1944257,"{'infraspecific_names': {'strain': 'MIT 0916'}, 'organism_name': 'Prochlorococcus sp. MIT 0916', 'tax_id': 3082521}",1.0,,1,1944257,0,1.6e-11,GCF_047305155.1-RS_2025_01_31,H=WP_413677514.1;D=WP_413677516.1;K=WP_413677516.1,Prochlorococcus sp. MIT 0916,Prochlorococcus,False
GCF_047305145.1,nifK-local_aln_i2.1_12182023,1.0,nifH-local_aln_i2.1_12182023,1,3.1e-54,1655833,,146.0,,nifD-local_aln_i2.1_12182023,1.0,1,1,0,7.2e-08,Complete Genome,,31.0,1655833,"{'infraspecific_names': {'strain': 'MIT 9321'}, 'organism_name': 'Prochlorococcus sp. MIT 9321', 'tax_id': 3082522}",1.0,,1,1655833,0,2.2e-10,GCF_047305145.1-RS_2025_01_31,H=WP_032517757.1;D=WP_032517756.1;K=WP_032517756.1,Prochlorococcus sp. MIT 9321,Prochlorococcus,False
GCF_047305135.1,nifK-local_aln_i2.1_12182023,1.0,nifH-local_aln_i2.1_12182023,1,3.5e-54,1722367,,62.56,,nifD-local_aln_i2.1_12182023,1.0,1,1,0,7.9e-09,Complete Genome,,31.0,1722367,"{'infraspecific_names': {'strain': 'MIT 9123'}, 'organism_name': 'Prochlorococcus sp. MIT 9123', 'tax_id': 3082523}",1.0,,1,1722367,0,9.3e-12,GCF_047305135.1-RS_2025_01_31,H=WP_032513886.1;D=WP_032513885.1;K=WP_032513885.1,Prochlorococcus sp. MIT 9123,Prochlorococcus,False
GCF_047305125.1,nifK-local_aln_i2.1_12182023,1.0,nifH-local_aln_i2.1_12182023,1,5.8e-54,1685880,,279.0,,nifD-local_aln_i2.1_12182023,1.0,1,1,0,4.6e-09,Complete Genome,,31.5,1685880,"{'infraspecific_names': {'strain': 'MIT 9201'}, 'organism_name': 'Prochlorococcus marinus str. MIT 9201', 'tax_id': 93057}",1.0,,1,1685880,0,1.6e-11,GCF_047305125.1-RS_2025_01_31,H=WP_032522524.1;D=WP_032522525.1;K=WP_032522525.1,Prochlorococcus marinus str. MIT 9201,Prochlorococcus,False
GCF_047305115.1,nifK-local_aln_i2.1_12182023,1.0,nifH-local_aln_i2.1_12182023,1,3.7999999999999997e-54,1661798,,13.0,,nifD-local_aln_i2.1_12182023,1.0,1,1,0,2.6e-08,Complete Genome,,31.0,1661798,"{'infraspecific_names': {'strain': 'MED1'}, 'organism_name': 'Prochlorococcus sp. MED1', 'tax_id': 3082519}",1.0,,1,1661798,0,9.1e-10,GCF_047305115.1-RS_2025_01_31,H=WP_011132178.1;D=WP_011132179.1;K=WP_011132179.1,Prochlorococcus sp. MED1,Prochlorococcus,False
GCF_047305065.1,nifK-local_aln_i2.1_12182023,1.0,nifH-local_aln_i2.1_12182023,1,3.9999999999999997e-53,1641776,,19.0,,nifD-local_aln_i2.1_12182023,1.0,1,1,0,7.5e-09,Complete Genome,,31.5,1641776,"{'infraspecific_names': {'strain': 'MIT 1205'}, 'organism_name': 'Prochlorococcus sp. MIT 1205', 'tax_id': 3082524}",1.0,,1,1641776,0,1.5e-11,GCF_047305065.1-RS_2025_01_31,H=WP_011862562.1;D=WP_011862563.1;K=WP_011862563.1,Prochlorococcus sp. MIT 1205,Prochlorococcus,False
GCF_047305015.1,nifK-local_aln_i2.1_12182023,1.0,nifH-local_aln_i2.1_12182023,1,3.9999999999999997e-53,1641776,,30.0,,nifD-local_aln_i2.1_12182023,1.0,1,1,0,7.5e-09,Complete Genome,,31.5,1641776,"{'infraspecific_names': {'strain': 'MIT 1304'}, 'organism_name': 'Prochlorococcus sp. MIT 1304', 'tax_id': 3082525}",1.0,,1,1641776,0,1.5e-11,GCF_047305015.1-RS_2025_01_31,H=WP_011862562.1;D=WP_011862563.1;K=WP_011862563.1,Prochlorococcus sp. MIT 1304,Prochlorococcus,False
GCF_047304905.1,nifK-local_aln_i2.1_12182023,0.0,nifH-local_aln_i2.1_12182023,0,2.3999999999999996e-53,2461429,,200.0,,nifD-local_aln_i2.1_12182023,1.0,1,1,0,1.7e-05,Complete Genome,,50.5,2461429,"{'infraspecific_names': {'strain': 'MIT 1323'}, 'organism_name': 'Prochlorococcus sp. MIT 1323', 'tax_id': 3082526}",0.0,,1,2461429,0,2.4e-05,GCF_047304905.1-RS_2025_01_31,H=WP_063397370.1;D=WP_063400201.1;K=WP_063400201.1,Prochlorococcus sp. MIT 1323,Prochlorococcus,False
GCF_047304785.1,nifK-local_aln_i2.1_12182023,1.0,nifH-local_aln_i2.1_12182023,0,2.3999999999999996e-53,2588322,,201.0,,nifD-local_aln_i2.1_12182023,1.0,1,1,0,1.5e-05,Complete Genome,,50.5,2588322,"{'infraspecific_names': {'strain': 'MIT 1327'}, 'organism_name': 'Prochlorococcus sp. MIT 1327', 'tax_id': 3082527}",0.0,,1,2588322,0,8.4e-06,GCF_047304785.1-RS_2025_01_31,H=WP_063397370.1;D=WP_063419828.1;K=WP_063419828.1,Prochlorococcus sp. MIT 1327,Prochlorococcus,False
GCF_047304725.1,nifK-local_aln_i2.1_12182023,0.0,nifH-local_aln_i2.1_12182023,0,2.2e-52,2605724,,66.0,,nifD-local_aln_i2.1_12182023,1.0,1,1,0,2.3e-06,Complete Genome,,58.0,2605724,"{'infraspecific_names': {'strain': 'MIT S9451'}, 'organism_name': 'Synechococcus sp. MIT S9451', 'tax_id': 3082543}",1.0,,1,2605724,0,2.7e-05,GCF_047304725.1-RS_2025_01_31,H=WP_115120772.1;D=WP_413743659.1;K=WP_413743659.1,Synechococcus sp. MIT S9451,Synechococcus,False
